"id","title","publication_year","authors","doi","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons"
7038548,"Flirras: Fast Learning With Integrated Reward And Reduced Action Space For Online Multitask Offloading",NA,NA,"10.1109/jiot.2022.3222295","{}",2024-11-18 19:33:27,"excluded","{""No societal value context"",""ESI data not used""}"
6863161,"Evaluation Of A Ubiquitous And Interoperable Computerised System For Remote Monitoring Of Ambulatory Post-Operative Pain: A Randomised Controlled Trial",2014,"{""Araújo, P."",""Da Costa, M. D."",""Pombo, N."",""Viana, J.""}","10.3233/thc-130774","{""remote pain monitoring""}",2024-07-19 21:13:07,"excluded","{""ESI data not used""}"
7037872,"Advanced Optimization Of Satellite Image Observation Matrices Via Orthogonal Trigonometric Decomposition And Karhunen-Loève Transform",NA,NA,"10.18280/ts.400306","{}",2024-11-18 19:02:41,"excluded","{""No societal value context""}"
6862988,"Accuracy Evaluation Of Et And Its Components From Three Remote Sensing Et Models And One Process Based Hydrological Model Using Ground Measured Eddy Covariance And Sap Flow",2023,"{""Han, Shumin"",""Hao, Xiaohua"",""Li, Huilong"",""Li, Xiaojin"",""Yang, Yanmin"",""Yang, Yonghui"",""Zhou, Xinyao""}","10.1016/j.jhydrol.2023.130374","{}",2024-07-16 23:53:54,"excluded","{""Data is not valued""}"
7037429,"Effect Of The Equality Health Bwindi Scheme On Utilization Of Health Services At Bwindi Community Hospital In Uganda",NA,NA,"10.3389/fpubh.2019.00071","{""satellite clinics""}",2024-11-18 19:14:11,"excluded","{""ESI data not used""}"
6691764,"A Bayesian approach to decision making in applied meteorology",1962,"{""Epstein, Edward S.""}","https://doi.org/10.1175/1520-0450(1962)001%3C0169:ABATDM%3E2.0.CO;2","{}",2024-04-25 02:40:12,"excluded","{""ESI data not used""}"
7038215,"Improved Cnn-Based Catboost Model For License Plate Remote Sensing Image Classification",NA,NA,"10.1016/j.sigpro.2023.109196","{}",2024-11-21 02:20:51,"excluded","{""ESI data not used""}"
6862867,"Estimating Impacts Of Plantation Forestry On Plant Biodiversity In Southern Chile-A Spatially Explicit Modelling Approach",2016,"{""Braun, Andreas Christian"",""Koch, Barbara""}","10.1007/s10661-016-5547-1","{calibration}",2024-07-18 22:05:10,"excluded","{""Data is not valued""}"
6863010,"Spectral Diversity Metrics For Detecting Oil Pollution Effect On Biodiversity In The Niger Delta",2019,"{""Balzter, H."",""Berrio, J. C."",""Onyia, N. N.""}","10.3390/rs11222662","{calibration}",2024-07-19 20:08:22,"excluded","{""Data is not valued""}"
6862930,"Land Use And Land Cover Change Dynamics And Perceived Drivers In Rangeland Areas In Central Uganda",2022,"{""Egeru, Anthony"",""Kuule, Derick Ansyijar"",""Magaya, Paul John"",""Mwesigwa, Gordon Yofesi"",""Nyombi, Kenneth"",""Okurut, Isaac Tom"",""Ssentongo, Benard"",""Tabuti, John Robert Stephen""}","10.3390/land11091402","{}",2024-07-17 18:02:48,"excluded","{""Data is not valued""}"
7038017,"Structural Health Monitoring Of Oil And Gas Pipelines Through Internet Of Remote Things",NA,NA,"10.5373/jardcs/v12i2/s20201398","{""sat comms""}",2024-10-30 00:16:50,"excluded","{""ESI data not used""}"
7038373,"Public Health Surveillance In The U.s. Department Of Veterans Affairs: Evaluation Of The Praedico Surveillance System",NA,NA,"10.1186/s12889-022-12578-2","{}",2024-11-22 17:41:50,"excluded","{""ESI data not used""}"
7037773,"The Value And Scope Of Gis In Marketing And Tourism Management",NA,NA,"10.4018/978-1-5225-7033-2.ch030","{""GIS != ESI""}",2024-11-22 18:05:55,"excluded","{""ESI data not used"",""Data is not valued""}"
7037034,"Valuation Of Ecotourism Resources Using A Contingent Valuation Method: The Case Of The Korean Dmz",NA,NA,"10.1016/j.ecolecon.2006.12.011","{}",2024-10-25 22:56:06,"excluded","{""Valued data is not ESI""}"
7038649,"Review Of State-Of-The-Art Decision Support Systems (Dsss) For Prevention And Suppression Of Forest Fires",NA,NA,"10.1007/s11676-017-0452-1","{}",2024-10-28 19:35:30,"excluded","{""Review or opinion""}"
7037453,"Review Of Field-Based Phenotyping By Unmanned Aerial Vehicle Remote Sensing Platform",NA,NA,"10.11975/j.issn.1002-6819.2016.24.013","{}",2024-11-18 18:55:21,"excluded","{""Review or opinion""}"
7038600,"Urban Land Use And Land Cover Change Analysis Using Random Forest Classification Of Landsat Time Series",NA,NA,"10.3390/rs14112654","{}",2024-11-22 18:04:51,"excluded","{Validation/calibration}"
6863344,"Global Dam Watch: Curated Data And Tools For Management And Decision Making",2021,"{""Beames, Penny"",""Belletti, Barbara"",""Brauman, Kate A."",""De Felice, Luca"",""Higgins, Jonathan"",""Januchowski-Hartley, Stephanie R."",""Lehner, Bernhard"",""Mandle, Lisa"",""Mazany-Wright, Nick"",""Mulligan, Mark"",""Thieme, Michele"",""Wang, Jida"",""Wen, Qingke"",""Yang, Xiao"",""Zarfl, Christiane"",""de Leaniz, Carlos Garcia"",""van Soesbergen, Arnout""}","10.1088/2634-4505/ac333a","{}",2024-07-15 17:12:56,"excluded","{""Data is not valued""}"
7038349,"Mapping Soil Organic Carbon Stocks In Tunisian Topsoils",NA,NA,"10.1016/j.geodrs.2022.e00561","{}",2024-11-22 17:06:16,"excluded","{Validation/calibration}"
6903517,"Advances In Mobile Health For Inflammatory Bowel Disease",NA,NA,"10.3390/diagnostics13010037","{spurious}",2024-09-27 22:18:51,"excluded","{""ESI data not used""}"
7037318,"A Review Of Property Rights In Outer Space From A Land Management Perspective",NA,NA,"10.1108/jppel-02-2021-0011","{}",2024-10-30 16:04:18,"excluded","{""No societal value context"",""ESI data not used""}"
7038522,"A Framework For Assessing Readiness Of Satellite Assembly, Integration And Testing Organization",NA,NA,"10.1109/access.2022.3196927","{}",2024-10-28 19:13:47,"excluded","{""ESI data not used"",""Data is not valued""}"
6691519,"Application of earth observation dataset and multi-criteria decision-making technique for forest fire risk assessment in Sikkim, India",2021,"{""Laha, Arnab""}","https://doi.org/10.18520/cs/v121/i8/1022-1031","{}",2024-04-26 18:35:00,"excluded","{""Data is not valued""}"
6862891,"Models Of Earth's Main Magnetic Field Incorporating Flux And Radial Vorticity Constraints",2007,"{""Constable, C. G."",""Jackson, A."",""Parker, R. L."",""Walker, M. R.""}","10.1111/j.1365-246x.2007.03526.x","{}",2024-09-30 17:35:49,"excluded","{""ESI data not used""}"
6661281,"An Analysis Of The Spatial And Temporal Changes In Chinese Terrestrial Ecosystem Service Functions",2012,"{""Huang JinLou"",""Shi Yao"",""Wang RuSong"",""Yang WenRui""}","10.1007/s11434-012-4978-5","{cco}",2024-04-11 22:10:51,"excluded","{""Data is not valued""}"
6863487,"Albedo Impact On The Suitability Of Biochar Systems To Mitigate Global Warming",2012,"{""Bright, R. M."",""Fischer, D."",""Glaser, B."",""Meyer, S."",""Schulz, H.""}","10.1021/es302302g","{}",2024-07-18 23:48:39,"excluded","{""Data is not valued""}"
6863271,"Canopy Adjustment And Improved Cloud Detection For Remotely Sensed Snow Cover Mapping",2020,"{""Dozier, Jeff"",""Hill, Alice F."",""Lutz, James A."",""Painter, Thomas H."",""Raleigh, Mark S."",""Rittger, Karl""}","10.1029/2019wr024914","{calibration}",2024-07-18 20:56:15,"excluded","{""Data is not valued""}"
7038386,"Multi-Period Planning Of Integrated Underground Logistics System Network For Automated Construction-Demolition-Municipal Waste Collection And Parcel Delivery: A Case Study",NA,NA,"10.1016/j.jclepro.2021.129760","{""satellite city""}",2024-11-18 19:34:27,"excluded","{""ESI data not used""}"
7038056,"Improved Classification Of Conservation Tillage Adoption Using High Temporal And Synthetic Satellite Imagery",NA,NA,"10.1016/j.rse.2010.08.005","{}",2024-10-28 00:11:00,"excluded","{Validation/calibration}"
6862765,"Estimating The Conservation Value Of Protected Areas In Maritime Canada For Two Species At Risk: The Olive-Sided Flycatcher (Contopus Cooperi) And Canada Warbler (Cardellina Canadensis)",2019,"{""Bayne, Erin M."",""Fontaine, Trish"",""Hache, Samuel"",""Mazerolle, Dan"",""Solymos, Peter"",""Staicer, Cindy"",""Westwood, Alana R.""}","10.5751/ace-01359-140116","{maybe}",2024-07-17 21:31:23,"excluded","{""Data is not valued""}"
6863464,"County Government As The “Administrative Arm” Of State Government",2019,"{""Waugh, W. L.""}","10.4324/9781315093239-17","{""satellite agencies"",spurious}",2024-09-27 23:01:56,"excluded","{""ESI data not used""}"
6863594,"Spatial Flood Forecasting Modeling Under Lack Of Data Using Rs And Optimized Support Vector Machine: A Case Study Of The Zahedan Watershed",2023,"{""Irandoost, M."",""Jalalkamali, N."",""Mirkazemi, S. M.""}","10.1061/nhrefo.nheng-1665","{}",2024-07-17 19:24:30,"excluded","{""Data is not valued""}"
6447813,"Virtual globes and geospatial health: the potential of new tools in the management and control of vector-borne diseases",2009,"{""Kristensen, Thomas K."",""Mushinge, Gabriel"",""Møhlenberg, Flemming"",""Rahbek, Carsten"",""Saarnak, Christopher F.L."",""Simoonga, Christopher"",""Stensgaard, Anna-Sofie"",""Utzinger, Jürg"",""Vounatsou, Penelope""}","10.4081/gh.2009.216","{}",NA,NA,NA
7037604,"Using High-Spatiotemporal Thermal Satellite Et Retrievals For Operational Water Use And Stress Monitoring In A California Vineyard",NA,NA,"10.3390/rs11182124","{}",2024-11-18 23:12:00,"excluded","{""Data is not valued""}"
7036861,"Incorporating A Constrained Optimization Algorithm Into Remote Sensing/Precision Agriculture Methodology",NA,NA,"10.1016/s0094-5765(03)00134-6","{""algorithm is valued""}",2024-10-28 19:13:06,"excluded","{""Data is not valued""}"
6862996,"Deep Learning And Boosting Framework For Piping Erosion Susceptibility Modeling: Spatial Evaluation Of Agricultural Areas In The Semi-Arid Region",2022,"{""Balogun, Abdul-Lateef"",""Bera, Amit"",""Bhunia, Gouri Sankar"",""Chen, Wei"",""Chen, Yunzhi"",""Janizadeh, Saeid"",""Nguyen Thi Thuy Linh"",""Quoc Bao Pham"",""Wang, Xiaojing""}","10.1080/10106049.2021.1892212","{}",2024-09-27 23:41:05,"excluded","{""Data is not valued""}"
6862980,"Quantitative Estimation Of Soil Salinity Using Uav-Borne Hyperspectral And Satellite Multispectral Images",2019,"{""Fu, Tingting"",""Hu, Jie"",""Jiang, Qingsong"",""Peng, Jie"",""Shi, Zhou"",""Wang, Fei"",""Xu, Dongyun"",""Zhao, Ruiying"",""Zhou, Yin""}","10.3390/rs11070736","{calibration}",2024-07-19 20:41:23,"excluded","{""Data is not valued""}"
7037600,"How Much Will Precision Nitrogen Management Pay Off? An Evaluation Based On Simulating Thousands Of Corn Fields Over The Us Corn-Belt",NA,NA,"10.1016/j.fcr.2019.04.013","{""N appl method valued""}",2024-10-28 00:33:59,"excluded","{""Data is not valued""}"
6863396,"Quantifying The Sensitivity Of Ephemeral Streams To Land Disturbance Activities In Arid Ecosystems At The Watershed Scale",2014,"{""Bowen, E. E."",""Carr, A. E."",""Grippo, M. A."",""Hamada, Y."",""Hartmann, H. M."",""O’Connor, B. L."",""Patton, T. L."",""Van Lonkhuyzen, R. A.""}","10.1007/s10661-014-3912-5","{}",2024-07-16 23:58:07,"excluded","{""Data is not valued""}"
7038365,"Supporting Habitat Conservation With Automated Change Detection In Google Earth Engine",NA,NA,"10.1111/cobi.13680","{}",2024-11-18 23:25:40,"excluded","{Validation/calibration}"
7036728,"Employing Crowdsourced Geographic Data And Multi-Temporal/Multi-Sensor Satellite Imagery To Monitor Land Cover Change: A Case Study In An Urbanizing Region Of The Philippines",NA,NA,"10.1016/j.compenvurbsys.2017.02.002","{}",2024-11-22 17:46:34,"excluded","{""Data is not valued"",Validation/calibration}"
6863603,"Research On Ecological Spatial Planning Method In High-Density Area Under The Urban Regeneration Vision: A Case Study Of A Three-Dimensional Greening Plan On Xiamen Island",2018,"{""Dong, J."",""Fan, D."",""Li, C."",""Wu, Y."",""Zuo, J.""}","10.5846/stxb201801300251","{}",2024-07-13 00:12:20,"excluded","{""Data is not valued""}"
7036808,"Deep Learning Using Physically-Informed Input Data For Wetland Identification",NA,NA,"10.1016/j.envsoft.2020.104665","{}",2024-11-21 20:46:49,"excluded","{Validation/calibration}"
7038485,"Qoe-Driven Social Aware Caching Placement For Terrestrial-Satellite Networks",NA,NA,"10.1109/cc.2018.8485469","{}",2024-10-30 18:26:02,"excluded","{""No societal value context"",""ESI data not used""}"
6862905,"Spatiotemporal Variations In Drought And Vegetation Response In Inner Mongolia From 1982 To 2019",2022,"{""Cao, Xinyu"",""Chen, Yun"",""Wei, Yujiao"",""Yu, Huilin"",""Zhu, Lin""}","10.3390/rs14153803","{}",2024-09-30 01:36:36,"excluded","{""Data is not valued""}"
6862982,"Impacts Of Socioeconomic Factors On Cropland Transition And Its Adaptation In Beijing, China",2018,"{""Li, Q."",""Lu, D."",""Lu, S."",""Zhang, L.""}","10.1007/s12665-018-7740-8","{}",2024-07-13 00:04:46,"excluded","{""Data is not valued""}"
7037235,"Precision Livestock Farming Applied To Grazingland Monitoring And Management-A Review",NA,NA,"10.1002/agj2.21346","{}",2024-11-18 20:47:54,"excluded","{""Review or opinion""}"
6863172,"Estimating The Economic Value And Economic Return Of Irrigation Water As A Sustainable Water Resource Management Mechanism",2022,"{""Alamirew, Tena"",""Bashe, Tsigemariam"",""Dejen, Zeleke Agide""}","10.1007/s40899-022-00764-4","{}",2024-07-15 16:15:46,"excluded","{""Data is not valued""}"
7036625,"Using Spatial Reinforcement Learning To Build Forest Wildfire Dynamics Models From Satellite Images",NA,NA,"10.3389/fict.2018.00006","{}",2024-11-18 18:14:47,"excluded","{Validation/calibration}"
6862917,"Effects Of Interannual Variations In Environmental Conditions On Seasonal Range Selection By Mongolian Gazelles",2013,"{""Buuveibaatar, B."",""Chimeddorj, B."",""Ito, T. Y."",""Lhagvasuren, B."",""Shinoda, M."",""Takatsuki, S."",""Tsuge, M."",""Tsunekawa, A.""}","10.1016/j.jaridenv.2012.12.008","{}",2024-07-17 21:28:18,"excluded","{""Data is not valued""}"
7038027,"Satellite Data Applications For Sustainable Energy Transitions",NA,NA,"e great lakes bioenergy research center, university of wisconsin–madison, madison, wi, united states","{}",2024-10-30 00:00:49,"excluded","{""Data is not valued""}"
6903524,"Development, Optimization, And Validation Of Radium-226 Measurement In Oyster, A Sentinel Organism By Mass Spectrometry",NA,NA,"10.3390/separations10100529","{""sentinel organism""}",2024-10-03 21:53:57,"excluded","{""ESI data not used""}"
6903647,"Forest Burned Area Detection Using A Novel Spectral Index Based On Multi-Objective Optimization",NA,NA,"10.3390/f13111787","{validation}",2024-09-27 18:42:40,"excluded","{""Data is not valued""}"
7037901,"Utility Of Biological Sensor Tags In Animal Conservation",NA,NA,"10.1111/cobi.12486","{}",2024-10-28 00:11:34,"excluded","{""ESI data not used"",""Review or opinion""}"
7038264,"Conformity Testing Of Satellite-Derived Quantitative Surface Variables",NA,NA,"10.1016/j.envsci.2015.03.018","{}",2024-11-19 19:51:38,"excluded","{""Data is not valued""}"
7038166,"Remote Sensing Of Coral Reefs For Monitoring And Management: A Review",NA,NA,"10.3390/rs8020118","{interesting}",2024-10-30 16:32:53,"excluded","{""Review or opinion""}"
6863212,"Assessment Of Water Quality In Lake Garda (Italy) Using Hyperion",2007,"{""Brando, Vittorio E."",""Candiani, Gabriele"",""Dekker, Amold G."",""Giardino, Claudia"",""Strombeck, Niklas""}","10.1016/j.rse.2006.12.017","{}",2024-09-30 02:00:39,"excluded","{""Data is not valued"",Validation/calibration}"
6863687,"Natural And Anthropogenic Forcings Lead To Contrasting Vegetation Response In Long-Term Vs. Short-Term Timeframes",2021,"{""Alipour, H."",""Jamali, S."",""Kazemzadeh, M."",""Noori, Z."",""Seyednasrollah, B.""}","10.1016/j.jenvman.2021.112249","{}",2024-07-19 21:10:24,"excluded","{""Data is not valued""}"
6903649,"An Evaluation Of Ecosystem Services As A Result Of Land Use Changes In Inland And Coastal Areas: A Comparative Study Of Beijing And Freetown",NA,NA,"10.1007/s11852-022-00927-7","{}",2024-10-01 17:24:10,"excluded","{""Data is not valued""}"
6863451,"Evaluation Of The Impacts Of The “Uma Terra E Duas Águas” Program (P1+2) On The Quality Of Life And Environmental Sustainability Of Beneficiaries In The Semiarid Region Of Ceará, Brazil",2024,"{""Khan, A. S."",""Sales Lima, P. V. P."",""de Carvalho Oliveira, A.""}","10.24857/rgsa.v18n1-001","{}",2024-07-16 23:57:33,"excluded","{""ESI data not used""}"
6863198,"Cooling Effect Of Urban Green And Blue Infrastructure: A Systematic Review Of Empirical Evidence",2021,"{""Chang, Q."",""Liu, X."",""Su, W."",""Zhang, L.""}","10.5846/stxb201903290607","{}",2024-07-17 17:02:36,"excluded","{""Data is not valued"",""Review or opinion""}"
7038626,"Remote Sensing Of Croplands",NA,NA,"10.1016/b978-0-12-409548-9.10379-3","{}",2024-10-25 22:52:20,"excluded","{""Data is not valued""}"
6862926,"Prediction Of Blueberry (Vaccinium Corymbosum L.) Yield Based On Artificial Intelligence Methods",2022,"{""Antoniuk, I."",""Bobran, K."",""Kurek, J."",""Niedbała, G."",""Wojciechowski, T."",""Świderski, B.""}","10.3390/agriculture12122089","{}",2024-10-03 17:38:28,"excluded","{""Data is not valued""}"
7038594,"Populating Digital Earth: Improving Access To Chinese Remote Sensing Data For Terrestrial Applications",NA,NA,"10.1080/17538947.2013.829130","{}",2024-10-28 19:01:59,"excluded","{""Data is not valued""}"
6903610,"The Economic Impact Of Tourism In Central Finland: A Regional Input-Output Study",NA,NA,"10.1108/tr-04-2017-0080","{}",2024-10-03 22:27:00,"excluded","{""ESI data not used""}"
7037810,"Blockchain For Environmental Governance: Can Smart Contracts Reinforce Payments For Ecosystem Services In Namibia?",NA,NA,"10.3389/fbloc.2019.00021","{}",2024-10-25 23:04:02,"excluded","{""Data is not valued""}"
6863145,"Synchronization, Decoupling, And Regime Shift Of Urban Thermal Conditions In Xi'an, An Ancient City In China Under Rapid Expansion",2022,"{""Guo, Rui"",""Li, Yuanyuan"",""Liu, Shuguang"",""Shi, Yi"",""Wu, Yiping"",""Yuan, Wenping"",""Zhao, Shuqing""}","10.3390/rs14112586","{}",2024-09-27 23:00:20,"excluded","{""Data is not valued""}"
6863059,"The Relationship Of Spatial-Temporal Changes In Fringe Mangrove Extent And Adjacent Land-Use: Case Study Of Kien Giang Coast, Vietnam",2013,"{""Duke, Norman C."",""Hai-Hoa Nguyen"",""Johansen, Kasper"",""McAlpine, Clive"",""Pullar, David""}","10.1016/j.ocecoaman.2013.01.003","{}",2024-07-19 23:40:33,"excluded","{""Data is not valued""}"
6862760,"Impact Of Peri-Urban Forest Fires On Air Quality And Aerosol Optical And Chemical Properties: The Case Of The August 2021 Wildfires In Athens, Greece",2024,"{""Bougiatioti, A."",""Gerasopoulos, E."",""Grivas, G."",""Kalkavouras, P."",""Kaskaoutis, D. G."",""Liakakou, E."",""Mihalopoulos, N."",""Papoutsidaki, K."",""Paraskevopoulou, D."",""Petrinoli, K."",""Rashki, A."",""Sotiropoulou, R. E. P."",""Stavroulas, I."",""Tagaris, E."",""Tavernaraki, K."",""Tsagkaraki, M.""}","10.1016/j.scitotenv.2023.168028","{}",2024-07-17 19:31:13,"excluded","{""Data is not valued""}"
6863170,"The Global Atmospheric Environment For The Next Generation",2006,"{""Amann, M."",""Atherton, C."",""Bell, N."",""Bergmann, D."",""Bey, I."",""Bouwman, L."",""Butler, T."",""Cofala, J."",""Collins, B."",""Dentener, F."",""Doherty, R."",""Drevet, J."",""Eickhout, B."",""Ellingsen, K."",""Eskes, H."",""Fiore, A."",""Gauss, M."",""Hauglustaine, D."",""Horowitz, L."",""Isaksen, I. S. A."",""Josse, B."",""Krol, M."",""Lamarque, J. F."",""Lawrence, M."",""Montanaro, V."",""Muller, J. F."",""Peuch, V. H."",""Pitari, G."",""Pyle, J."",""Rast, S."",""Rodriguez, J."",""Sanderson, M."",""Savage, N. H."",""Schultz, M."",""Shindell, D."",""Stevenson, D."",""Strahan, S."",""Sudo, K."",""Szopa, S."",""Van Dingenen, R."",""Wild, O."",""Zeng, G."",""van Noije, T.""}","10.1021/es0523845","{}",2024-07-19 20:30:24,"excluded","{""Data is not valued""}"
7037062,"Space Technology Meets Policy: An Overview Of Earth Observation Sensors For Monitoring Of Cultural Landscapes Within Policy Framework For Cultural Heritage",NA,NA,"10.1016/j.jasrep.2017.05.001","{}",2024-10-25 21:56:40,"excluded","{""Data is not valued""}"
