id,title,year,doi,tags,phase,screening_status,excl_reasons
7037173,"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia",NA,10.5829/idosi.wasj.2013.28.01.1871,{},classifier round 3,included,NA
7038071,Public Health Benefits From Improved Identification Of Severe Air Pollution Events With Geostationary Satellite Data,NA,10.1029/2023gh000890,{},classifier round 2,included,NA
7037716,"Geoinformatics For Disaster Risk Assessment, Monitoring, And Management",NA,10.1007/978-94-024-1071-6_14,{},classifier round 2,included,NA
6691732,The socioeconomic benefits of Earth science and applications research: reducing the risks and costs of natural disasters,2002,PII: S 0265-9646(01)00057-1,{},soc ben repo,included,NA
7036582,Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges,NA,10.1111/cobi.12801,{},classifier round 3,included,NA
7037446,Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models,NA,10.1007/s00267-002-2837-x,{},classifier round 3,included,NA
6862898,Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst,2023,10.3390/land12010184,{},sample 1000,included,NA
6863392,Lake Nasser Evaporation Reduction Study,2010,10.1016/j.jare.2010.09.002,{},sample 1000,included,NA
7038047,Use Of Remote Sensing In Control Of Good Agricultural And Environmental Conditions On Agricultural Farms,NA,10.2478/ecoq-2013-0018,{},classifier round 2,included,NA
7037441,Potential Of Virtual Earth Observation Constellations In Archaeological Research,NA,10.3390/s19194066,{},classifier round 2,included,NA
6903469,Enabling Efficient Service Function Chains At Terrestrial-Satellite Hybrid Cloud Networks,NA,10.1109/mnet.2019.1800426,{},classifier round 1,included,NA
6691635,Bayesian framework for assessing the value of scientific space systems: value of information approach with application to earth science spacecraft,2013,https://doi.org/10.1016/j.actaastro.2012.10.036,{},soc ben repo,included,NA
6691677,A professional review for integration of earth observations into FEWS NET decision support,2009,978-161567322-3,"{""value = essential vars""}",soc ben repo,included,NA
6903658,"Monitoring Soil-Plant Interactions And Maize Yield By Satellite Vegetation Indexes, Soil Electrical Conductivity And Management Zones",NA,10.1007/s11119-023-09994-8,{},classifier round 1,included,NA
7037691,An Observing System Simulation Experiment Framework For Air Quality Forecasts In Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer And Surface Monitored Aerosol Data,NA,10.3390/rs14020389,{},classifier round 3,included,NA
7036835,On Timeliness And Accuracy Of Wildfire Detection By The Goes Wf-Abba Algorithm Over California During The 2006 Fire Season,NA,10.1016/j.rse.2012.09.001,{},classifier round 3,included,NA
7037063,The Added Value Of A Proposed Satellite Imager For Ground Level Particulate Matter Analyses And Forecasts,NA,10.1109/jstars.2009.2034613,{},classifier round 3,included,NA
6863026,Atmospheric Remote Sensing Using Global Navigation Satellite Systems: From Formosat-3/Cosmic To Formosat-7/Cosmic-2,2021,10.3319/tao.2021.11.15.02,{maybe},sample 1000,included,NA
6863303,"Mapping Daily Evapotranspiration At Field Scale Using The Harmonized Landsat And Sentinel-2 Dataset, With Sharpened Viirs As A Sentinel-2 Thermal Proxy",2021,10.3390/rs13173420,{},sample 1000,included,NA
6863593,"Broadband, Red-Edge Information From Satellites Improves Early Stress Detection In A New Mexico Conifer Woodland",2011,10.1016/j.rse.2011.09.002,{},sample 1000,included,NA
6862860,Possibility Investigation Of Tree Diversity Mapping Using Landsat Etm+ Data In The Hyrcanian Forests Of Iran,2010,10.1016/j.rse.2010.02.004,{},sample 1000,included,NA
7038401,Impacts Of Geospatial Information For Decision Making,NA,10.1007/978-3-319-01821-8_10,{},classifier round 3,included,NA
6691644,An Economic Value of Remote-Sensing Information—Application to Agricultural Production and Maintaining Groundwater Quality,2012,https://pubs.usgs.gov/pp/1796/,{},soc ben repo,included,NA
6691692,Getting the Most out of Ensemble Forecasts: A Valuation Model Based on User–Forecast Interactions,2008,https://doi.org/10.1175/2008JAMC1899.1,{},soc ben repo,included,NA
7037933,Economic Valuation Of Mangroves In The Niger Delta: An Interdisciplinary Approach,NA,10.1002/9781444392241.ch15,"{""probs not""}",classifier round 3,included,NA
6863563,Eye In The Sky,2005,10.1016/s1471-0846(05)70433-9,{maybe},classifier round 1,included,NA
6691548,Intangible economic benefit of remote sensing data in Indonesia,2020,https://doi.org/10.20525/ijrbs.v9i7.941,{},soc ben repo,included,NA
6691572,Economic value of environmental and weather information for agricultural decisions – A case study for Oklahoma Mesonet,2018,https://doi.org/10.1016/j.agee.2018.07.008,{},soc ben repo,included,NA
6672872,Future Earth Observation Strategy For Societal Benefits,2005,10.1109/IGARSS.2005.1526433,{cco},early,included,NA
6691652,Socio-Economic Benefits from the Use of Earth Observations,2011,https://doi.org/10.2788/78532,{maybe},soc ben repo,included,NA
7036562,"Smart Environmental Monitoring And Assessment Technologies (Semat)—A New Paradigm For Low-Cost, Remote Aquatic Environmental Monitoring",NA,10.3390/s18072248,{},classifier round 2,included,NA
7038563,Acquisition Of Earth Science Remote Sensing Observations From Commercial Sources: Lessons Learned From The Space Imaging Ikonos Example,NA,10.1016/j.rse.2003.06.007,{},classifier round 2,included,NA
7038246,Exploring The Potential Value Of Satellite Remote Sensing To Monitor Chlorophyll-A For Us Lakes And Reservoirs,NA,10.1007/s10661-020-08631-5,{},classifier round 3,included,NA
7038505,Monitoring Daily Evapotranspiration Over Two California Vineyards Using Landsat 8 In A Multi-Sensor Data Fusion Approach,NA,10.1016/j.rse.2015.10.025,{},classifier round 2,included,NA
7037337,Role Of Satellite Remote Sensing In The Geographic Information Economics In France,NA,10.1016/0924-2716(91)90065-4,{},classifier round 3,included,NA
6691633,What is the Economic Value of Satellite Imagery?,2013,https://pubs.usgs.gov/fs/2013/3003/,{},soc ben repo,included,NA
6691673,The Value of Earth Observation for Managing the Great Barrier Reef,2009,https://research.vu.nl/ws/portalfiles/portal/2608005/235180.pdf,"{""in benchmarks?""}",soc ben repo,included,NA
7037702,Securing Sustainability In Indian Agriculture Through Civilian Uav: A Responsible Innovation Perspective,NA,10.1007/s42452-019-1901-6,{},classifier round 3,included,NA
6863694,"Food, Water, And Fault Lines: Remote Sensing Opportunities For Earthquake-Response Management Of Agricultural Water",2016,10.1016/j.scitotenv.2016.05.146,{},sample 1000,included,NA
6903619,Machine Learning As A Strategic Tool For Helping Cocoa Farmers In Cote D'ivoire,NA,10.3390/s23177632,{maybe},classifier round 1,included,NA
7038250,Multilayer Data And Artificial Intelligence For The Delineation Of Homogeneous Management Zones In Maize Cultivation,NA,10.3390/rs15123131,{},classifier round 3,included,NA
7037341,Evaluating The Public Value Of Improving Early Detection Accuracy Of Cumulonimbus Using A Geostationary Satellite In South Korea,NA,10.1016/j.spacepol.2022.101507,{},classifier round 2,included,NA
7037988,"Experiences From Near-Real-Time Satellite-Based Volcano Monitoring In Central America: Case Studies At Fuego, Guatemala",NA,10.1080/01431160802168301,{},classifier round 2,included,NA
6863091,Multi-Decadal Assessment Of Soil Loss In A Mediterranean Region Characterized By Contrasting Local Climates,2022,10.3390/land11071010,"{""probably not""}",classifier round 1,included,NA
6691714,Ascribing Societal Benefit to Environmental Observations of Earth from Space,2006,https://dx.doi.org/10.2139/ssrn.901785,"{""in benchmarks?""}",soc ben repo,included,NA
7038273,Runoff Estimation In The Upper Reaches Of The Heihe River Using An Lstm Model With Remote Sensing Data,NA,10.3390/rs14102488,{},classifier round 2,included,NA
7037465,"Integrative Geospatial Approaches For The Comprehensive Monitoring And Assessment Of Land Management Sustainability: Rationale, Potentials, And Characteristics",NA,10.1002/ldr.1074,{},classifier round 3,included,NA
6691511,As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,2022,https://ejournals.bc.edu/index.php/orac/article/view/15255,{},soc ben repo,included,NA
7037743,The Sea From Space-Applying Remote Sensing To Societal Needs,NA,10.4031/002533207787442097,{},classifier round 2,included,NA
7038362,Using Publicly Available Satellite Imagery And Deep Learning To Understand Economic Well-Being In Africa,NA,10.1038/s41467-020-16185-w,{},classifier round 2,included,NA
7036878,"Remote Sensing For The Study, Protection And Conservation Of Cultural Heritage: The Experience Of Itaca Mission In Southern America (2007-2013)",NA,10.1201/b17802,{},classifier round 2,included,NA
6691506,"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps",2022,https://doi.org/10.3389/fenvs.2022.788843,{},soc ben repo,included,NA
7038393,Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model For Urban Areas,NA,10.1016/j.uclim.2022.101187,{},classifier round 3,included,NA
6862764,Integrating Drone Imagery With Existing Rangeland Monitoring Programs,2020,10.1007/s10661-020-8216-3,{},sample 1000,included,NA
7036873,"Artisanal Exploitation Of Mineral Resources: Remote Sensing Observations Of Environmental Consequences, Social And Ethical Aspects",NA,10.1007/s10712-022-09740-1,{},classifier round 2,included,NA
7038638,Use Of Satellite Data In Coastal Zone Programmes,NA,10.1016/0302-184x(76)90011-1,{},classifier round 2,included,NA
7036684,Possibilities Of The Practical Application Of Remote Sensing Data In Real Property Appraisal,NA,10.1515/remav-2015-0016,"{""is real estate a soc ben?""}",classifier round 3,included,NA
6863076,Satellite Sensors And Retrieval Algorithms Of Atmospheric Methane,2023,10.3788/aos230429,{},sample 1000,included,NA
7038634,Satellite Remote Sensing For Water Resources Management: Potential For Supporting Sustainable Development In Data-Poor Regions,NA,10.1029/2017wr022437,{},classifier round 2,included,NA
7038295,Remote Sensing Of Wetlands: Case Studies Comparing Practical Techniques,NA,10.2112/jcoastres-d-10-00174.1,{},classifier round 3,included,NA
6691755,The Value of Weather Information in Market Equilibrium,1990,https://doi.org/10.2307/1243145,{},soc ben repo,included,NA
7037358,Nasa's Early Adopter Program Links Satellite Data To Decision Making,NA,10.3390/rs11040406,{},classifier round 2,included,NA
7037697,Potential Of Npp-Viirs Nighttime Light Imagery For Modeling The Regional Economy Of China,NA,10.3390/rs5063057,{},classifier round 3,included,NA
6691668,Use of climate information for socio-economic benefits,2010,https://doi.org/10.1016/j.proenv.2010.09.025,"{""public good"",maybe}",soc ben repo,included,NA
7038205,The Value Of Rapid Damage Assessment For Efficient Earthquake Response,NA,10.1016/j.ssci.2011.03.008,{},classifier round 3,included,NA
6862826,Where's Woolly? An Integrative Use Of Remote Sensing To Improve Predictions Of The Spatial Distribution Of An Invasive Forest Pest The Hemlock Woolly Adelgid,2015,10.1016/j.foreco.2015.09.013,{},sample 1000,included,NA
7037113,Comprehensive Analysis For Long-Term Hydrological Simulation By Deep Learning Techniques And Remote Sensing,NA,10.3389/feart.2022.875145,{},classifier round 3,included,NA
6863101,"On The Future Of Argo: A Global, Full-Depth, Multi-Disciplinary Array",2019,10.3389/fmars.2019.00439,{},classifier round 1,included,NA
6903665,Spatial Coverage Of Monitoring Networks: A Climate Observing System Simulation Experiment,NA,10.1175/jamc-d-17-0040.1,"{""probably not""}",classifier round 1,included,NA
6661505,Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?,2022,10.3390/w14131985,{cco},early,included,NA
6691514,Geographic microtargeting of social assistance with high-resolution poverty maps,2022,https://doi.org/10.1073/pnas.2120025119,{},soc ben repo,included,NA
7038561,Comparison Of Multi-Source Satellite Data For Quantifying Water Quality Parameters In A Mining Environment,NA,10.1016/j.jhydrol.2020.125322,{},classifier round 3,included,NA
6903588,Mapping For Coral Reef Conservation: Comparing The Value Of Participatory And Remote Sensing Approaches,NA,10.1002/ecs2.1325,{},classifier round 1,included,NA
7036822,Scenarios For Valuing Sample Information In Natural Resources,NA,10.1111/2041-210x.13487,{},classifier round 2,included,NA
7036807,Justification For Site-Specific Weed Management Based On Ecology And Economics,NA,10.1614/ws-04-071r2,{},classifier round 3,included,NA
7037951,"Use Of Uav Or Remotely Piloted Aircraft And Forward-Looking Infrared In Forest, Rural And Wildland Fire Management: Evaluation Using Simple Economic Analysis",NA,10.1186/s40490-015-0044-9,{},classifier round 2,included,NA
6691587,Earth observation in service of the 2030 Agenda for Sustainable Development,2017,https://doi.org/10.1080/10095020.2017.1333230,{maybe},soc ben repo,included,NA
6863414,"Analysis Of Suspended Particulate Matter And Its Drivers In Sahelian Ponds And Lakes By Remote Sensing (Landsat And Modis): Gourma Region, Mali",2017,10.3390/rs9121272,{},sample 1000,included,NA
7037158,Assessing Impacts Of Mining: Recent Contributions From Gis And Remote Sensing,NA,10.1016/j.exis.2019.06.011,{},classifier round 3,included,NA
7038053,On The Contribution Of Satellite Altimetry-Derived Water Surface Elevation To Hydrodynamic Model Calibration In The Han River,NA,10.3390/rs12244087,{},classifier round 3,included,NA
6691617,Stakeholder Value Network (SVN) Analysis for Indian Earth Observation Program,2015,https://doi.org/10.2514/6.2015-4635,{},soc ben repo,included,NA
7038376,2d Vs. 3d Change Detection Using Aerial Imagery To Support Crisis Management Of Large-Scale Events,NA,10.3390/rs10122054,{},classifier round 3,included,NA
7037385,"Evaluation Financiere De L‘integration De Technologies Satellitaires, Pour Le Suivi Du Couvert Nival, Au Sein D‘une Entreprise Hydroelectrique (Le Cas De L‘utilisation Du Satellite Radarsat I Dans Le Bassin De La Riviere La Grande (Quebec))",NA,10.1080/014311699212335,{},classifier round 3,included,NA
6863446,"Comparative Assessment Of Uav And Sentinel-2 Ndvi And Gndvi For Preliminary Diagnosis Of Habitat Conditions In Burunge Wildlife Management Area, Tanzania",2022,10.3390/earth3030044,{},sample 1000,included,NA
7037550,Comparative Analysis Of Machine Learning Algorithms In Automatic Identification And Extraction Of Water Boundaries,NA,10.3390/app112110062,{},classifier round 3,included,NA
7037639,Integrating Research Using Animal-Borne Telemetry With The Needs Of Conservation Management,NA,10.1111/1365-2664.12755,{},classifier round 2,included,NA
7036821,Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework For Regional Scale Crop Yield And Water Use Assessment,NA,10.1016/j.isprsjprs.2021.10.024,{},classifier round 3,included,NA
7036702,Satellite Remote Sensing As A Tool In Lahar Disaster Management,NA,10.1111/1467-7717.00197,{},classifier round 2,included,NA
6903585,Vermont Global Warming Solutions Act: The Costs Of Inaction From Land Conversions,NA,10.3390/laws11030048,{},classifier round 1,included,NA
7038593,Redefining Climate Regions In The United States Of America Using Satellite Remote Sensing And Machine Learning For Public Health Applications,NA,10.4081/gh.2014.294,{},classifier round 3,included,NA
6903632,Enhancing Land Cover Mapping And Monitoring: An Interactive And Explainable Machine Learning Approach Using Google Earth Engine,NA,10.3390/rs15184585,{maybe},classifier round 1,included,NA
6862973,Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?,2022,10.3390/w14131985,{},sample 1000,included,NA
6863684,Historical Eco-Environmental Quality Mapping In China With Multi-Source Data Fusion,2023,10.3390/app13148051,{},sample 1000,included,NA
7037533,Air Quality Management Using Modern Remote Sensing And Spatial Technologies And Associated Societal Costs,NA,10.3390/ijerph2006030028,{},classifier round 2,included,NA
6863115,The Role Of Remote Sensing Data And Methods In A Modern Approach To Fertilization In Precision Agriculture,2022,10.3390/rs14030778,{},sample 1000,included,NA
7037705,Space Assets For Demining Assistance,NA,10.1016/j.actaastro.2012.08.016,"{review?,""might be interesting""}",classifier round 2,included,NA
6691554,"Demonstrating the Value of Earth Observations- Methods, Practical Applications and Solutions -Group on Earth Observations side event proceedings",2019,https://doi.org/10.3133/ofr20191033,{},soc ben repo,included,NA
7036762,A Sensor Web And Web Service-Based Approach For Active Hydrological Disaster Monitoring,NA,10.3390/ijgi5100171,{},classifier round 3,included,NA
7037015,Open-Source Satellite Data And Gis For Land Resource Mapping,NA,10.1007/978-3-319-78711-4\_10,{},classifier round 3,included,NA
7038098,"Monitoring Forest Canopy Cover Change With Icesat-2 Data In Fire-Prone Areas: A Case Study In Antalya, Türkiye",NA,10.15287/afr.2023.2987,{},classifier round 2,included,NA
6863481,Normalizing Land Surface Temperature For Environmental Parameters In Mountainous And Urban Areas Of A Cold Semi-Arid Climate,2019,10.1016/j.scitotenv.2018.09.027,{},sample 1000,included,NA
6863535,Wetland Landscape Spatio-Temporal Degradation Dynamics Using The New Google Earth Engine Cloud-Based Platform: Opportunities For Non-Specialists In Remote Sensing,2016,10.13031/trans.59.11608,{},sample 1000,included,NA
6691713,Simulating the value of El Nino forecasts for the Panama Canal,2006,https://doi.org/10.1016/j.advwatres.2005.12.005,{},soc ben repo,included,NA
