title,year,doi,tags,phase,screening_status,excl_reasons
The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management,2015,https://doi.org/10.1016/j.techsoc.2015.05.002,{maybe},soc ben repo,included,NA
The public value of improving a weather forecasting system in Korea: a choice experiment study,2018,https://doi.org/10.1080/00036846.2017.1368995,{},soc ben repo,included,NA
Research Needs,NA,10.4324/9780429047237-18,{theoretical?},classifier round 2,included,NA
Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,NA,10.25175/jrd/2019/v38/i1/121801,{},classifier round 2a,included,NA
Combined Use Of Local And Global Hydro Meteorological Data With Hydrological Models For Water Resources Management In The Magdalena-Cauca Macro Basin - Colombia,2020,10.1007/s11269-019-02236-5,{},sample 1000,included,NA
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,2016,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5028&context=sspapers,{},soc ben repo,included,NA
Impact Of The Dual Use Concept Along The Value Chain Of Major Space Applications,NA,10.1016/0094-5765(96)00054-9,{},classifier round 2b,included,NA
The Utility Of Historical Aerial Photographs For Detecting And Judging The Effectiveness Of Rangeland Remediation Treatments,NA,10.1017/s1466046603031065,{},classifier round 2,included,NA
Mapping Plastic-Mulched Farmland By Coupling Optical And Synthetic Aperture Radar Remote Sensing,2020,10.1080/01431161.2020.1763510,{},sample 1000,included,NA
"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman",NA,10.13189/eer.2023.110411,{},classifier round 2a,included,NA
Monitoring And Early Warning Systems - A Design For Human Survival,NA,10.1108/03684920210417292,{},classifier round 2a,included,NA
"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina",NA,10.1007/978-3-319-06326-3_17,{},classifier round 2a,included,NA
Precision Farming Uses Typology In Arable Crop-Oriented Farms In Northern France,NA,10.1007/s11119-019-09660-y,{},classifier round 2b,included,NA
A Data-Driven Approach To Hurricane Debris Modeling,NA,10.1061/jwped5.wweng-1945,"{""probably not""}",classifier round 1,included,NA
Improving The Management Of Dryland Salinity In Australia Through The National Airborne Geophysics Project,NA,10.1071/eg998230,{},classifier round 2b,included,NA
Mapping Spatial Pattern In Biodiversity For Regional Conservation Planning: Where To From Here?,NA,10.1080/10635150252899806,{},classifier round 2,included,NA
Method Of Introducing Innovation To Land Use In Agriculture,NA,10.30525/2256-0742/2018-4-3-74-79,{},classifier round 2b,included,NA
Using architecture modeling to assess the societal benefits of the global earth observation system-of-systems,2008,https://doi.org/10.1109/JSYST.2008.925974,{maybe},soc ben repo,included,NA
Marine Online Platforms Of Services To Public End-Users-The Innovation Of The Odyssea Project,NA,10.3390/rs14030572,{},classifier round 2b,included,NA
A New Method For Long-Term River Discharge Estimation Of Small- And Medium-Scale Rivers By Using Multisource Remote Sensing And Rshs: Application And Validation,NA,10.3390/rs14081798,"{""probably not"",maybe}",classifier round 1,included,NA
Empowering Brazilian Unprivileged Communities with High Geotechnological Tools,2013,https://icaci.org/files/documents/ICC_proceedings/ICC2013/_extendedAbstract/316_proceeding.pdf,{maybe},soc ben repo,included,NA
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX),2021,https://doi.org/10.3389/fclim.2020.583509,{maybe},soc ben repo,included,NA
Drone Remote Sensing For Forestry Research And Practices,NA,10.1007/s11676-015-0088-y,{},classifier round 2,included,NA
The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management,NA,10.1093/icesjms/fsq168,{},classifier round 2a,included,NA
Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research,NA,10.1007/978-3-030-71571-7_9,{},classifier round 2a,included,NA
Satellite Earth Observations and Their Impact on Society and Policy,2017,https://doi.org/10.1007/978-981-10-3713-9,{},soc ben repo,included,NA
Satellite-Based Crop Production Monitoring In Ukraine And Regional Food Security,2011,10.1007/978-90-481-9618-0_11,{},classifier round 1,included,NA
The Role Of Satellite Telemetry Data In 21St Century Conservation Of Polar Bears (Ursus Maritimus),NA,10.3389/fmars.2022.816666,{},classifier round 2,included,NA
Embedding Smart Technologies In Accounting To Meet Global Irrigation Challenges,NA,10.1108/medar-03-2020-0835,{},classifier round 2b,included,NA
Initial Assessment Of Burn Severity Using Transfer Learning Model,NA,10.11834/jrs.20210156,{},classifier round 2a,included,NA
Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making,NA,10.1016/j.rsase.2022.100853,{},classifier round 2a,included,NA
A Hybrid Kernel-Based Change Detection Method For Remotely Sensed Data In A Similarity Space,2015,10.3390/rs71012829,{maybe},classifier round 1,included,NA
Contribution Of Remote Sensing For Crop And Water Monitoring,NA,10.1016/b978-1-78548-103-1.50004-2,{},classifier round 2a,included,NA
Geo-Information Processing Service Composition For Concurrent Tasks: A Qos-Aware Game Theory Approach,NA,10.1016/j.cageo.2011.10.007,{},classifier round 2b,included,NA
Avhrr Data For Real-Time Operational Flood Forecasting In Malaysia,2005,10.1007/3-540-27468-5_93,{maybe},classifier round 1,included,NA
Societal value of geologic maps,1993,https://doi.org/10.3133/cir1111,{},soc ben repo,included,NA
Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,NA,10.35940/ijrte.c3918.098319,{},classifier round 2a,included,NA
Remote Sensing For Irrigation Water Management In The Semi-Arid Northeast Of Brazil,NA,10.1016/j.agwat.2009.04.021,{},classifier round 2b,included,NA
Incorporation Of Satellite Remote Sensing Pan-Sharpened Imagery Into Digital Soil Prediction And Mapping Models To Characterize Soil Property Variability In Small Agricultural Fields,NA,10.1016/j.isprsjprs.2016.11.001,{},classifier round 2,included,NA
Multispectral And Thermographic Images For Monitoring The Water Conditions Of Sugarcane,NA,10.15809/irriga.2020v25n4p689-696,{},classifier round 2b,included,NA
Integrating Inland And Coastal Water Quality Data For Actionable Knowledge,NA,10.3390/rs13152899,{},classifier round 2a,included,NA
The Economics Of Fishing The High Seas,NA,10.1126/sciadv.aat2504,{},classifier round 2b,included,NA
"Unmanned Aerial Vehicle System (Uavs) Applications In Forestry And Plantation Operations: Experiences In Sabah And Sarawak, Malaysian Borneo",NA,10.1007/978-3-030-27157-2_8,{},classifier round 2b,included,NA
"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems",NA,10.1071/an14368,"{""wireless weighing""}",classifier round 2a,included,NA
A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products,NA,10.5194/hess-24-2687-2020,{},classifier round 2a,included,NA
Data poverty: A global evaluation for 2009 to 2013- implications for sustainable development and disaster risk reduction,2015,https://doi.org/10.1016/j.jag.2016.03.001,{maybe},soc ben repo,included,NA
Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment,NA,10.1139/facets-2020-0049,{},classifier round 2a,included,NA
Centers For Space Science And Technology Education - A United-Nations Initiative,NA,10.1080/01431169308953992,{},classifier round 2a,included,NA
"Economic Utility Of 3d Remote Sensing Data For Estimation Of Site Index In Nordic Commercial Forest Inventories: A Comparison Of Airborne Laser Scanning, Digital Aerial Photogrammetry And Conventional Practices",NA,10.1080/02827581.2020.1854340,{},classifier round 2b,included,NA
Evaluating Tropical Forest Classification And Field Sampling Stratification From Lidar To Reduce Effort And Enable Landscape Monitoring,NA,10.1016/j.foreco.2019.117634,{},classifier round 2b,included,NA
An Open Data And Citizen Science Approach To Building Resilience To Natural Hazards In A Data-Scarce Remote Mountainous Part Of Nepal,2020,10.3390/su12229448,{},sample 1000,included,NA
Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network,NA,10.1016/j.comcom.2021.06.022,{},classifier round 2a,included,NA
Evaluating Nox Emission Inventories For Regulatory Air Quality Modeling Using Satellite And Air Quality Model Data,NA,10.1016/j.atmosenv.2015.07.002,{},classifier round 2,included,NA
Earth observations can enable cost-effective conservation of eastern north pacific blue whales: a value of information analysis,2021,https://media.rff.org/documents/Earth_Observations_can_enable_cost-effective_conservation_of._bm_RB_,"{""in benchmarks""}",soc ben repo,included,NA
Drone-Based Participatory Mapping: Examining Local Agricultural Knowledge In The Galapagos,NA,10.3390/drones4040062,{},classifier round 2b,included,NA
Role Of Irs-1c In Developing Remote Sensing Applications For Water Management In India,NA,10.1007/s12524-020-01280-8,{},classifier round 2,included,NA
The Integration Of Nautical Charts To Reconstruct 3d Harbor Area Models And Apply Assisted Navigation,NA,10.1007/s11069-012-0516-7,{},classifier round 2b,included,NA
Impact of Global Earth Observation –Systemic View across GEOSS Societal Benefit Areas,2010,https://doi.org/10.2902/1725-0463.2010.05.art9,{},soc ben repo,included,NA
Building User-Readiness For Satellite Earth Observing Missions: The Case Of The Surface Water And Ocean Topography (Swot) Mission,NA,10.1029/2022av000680,{},classifier round 2,included,NA
The role of stakeholders in creating societal value from coastal and ocean observations,2019,https://doi.org/10.3389/fmars.2019.00137,{maybe},soc ben repo,included,NA
Evaluating Ecological Outcomes From Environmental Stewardship Initiatives: A Comparative Analysis Of Approaches,NA,10.1016/j.jenvman.2021.113266,{},classifier round 2b,included,NA
Satellite Data And Machine Learning For Weather Risk Management And Food Security,NA,10.1111/risa.12847,{},classifier round 2b,included,NA
Ndvi Identification And Survey Of A Roman Road In The Northern Spanish Province Of Alava,NA,10.3390/rs11060725,{},classifier round 1,included,NA
Research On Monitoring And Environmental Control Of Farmland Operation Based On Multi-Sensor Data Fusion,NA,10.1504/ijetm.2020.114134,{},classifier round 2,included,NA
"The Potential Of Remote Sensing Data For Decision Makers At The State, Local And Tribal Level: Experiences From Nasa's Synergy Program",NA,10.1016/j.envsci.2003.08.002,{},classifier round 2,included,NA
Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics,NA,10.1002/rse2.78,{},classifier round 2a,included,NA
Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods,NA,10.1016/j.spacepol.2017.08.003,{},classifier round 2a,included,NA
"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia",NA,10.5829/idosi.wasj.2013.28.01.1871,{},classifier round 2a,included,NA
Stakeholder Perceptions On The Need For Updated Tree Species Distribution Maps,NA,10.3390/f12101367,{},classifier round 2b,included,NA
Public Health Benefits From Improved Identification Of Severe Air Pollution Events With Geostationary Satellite Data,NA,10.1029/2023gh000890,{},classifier round 2,included,NA
"Geoinformatics For Disaster Risk Assessment, Monitoring, And Management",NA,10.1007/978-94-024-1071-6_14,{},classifier round 2,included,NA
The socioeconomic benefits of Earth science and applications research: reducing the risks and costs of natural disasters,2002,PII: S 0265-9646(01)00057-1,{},soc ben repo,included,NA
Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges,NA,10.1111/cobi.12801,{},classifier round 2a,included,NA
"Monitoring Sustainable Urban Development Using Built-Up Area Indicators: A Case Study Of Stellenbosch, South Africa",NA,10.1007/s10668-014-9560-7,{},classifier round 2b,included,NA
"Drones Over Mediterranean Landscapes. The Potential Of Small Uav's (Drones) For Site Detection And Heritage Management In Archaeological Survey Projects: A Case Study From Le Pianelle In The Tappino Valley, Molise (Italy)",NA,10.1016/j.culher.2016.06.006,{},classifier round 2b,included,NA
Scaling Marine Fish Movement Behavior From Individuals To Populations,NA,10.1002/ece3.4223,"{""prob not""}",classifier round 2b,included,NA
Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models,NA,10.1007/s00267-002-2837-x,{},classifier round 2a,included,NA
"Seawatch, Performance And Future",NA,10.1016/s0422-9894(97)80015-3,{},classifier round 2b,included,NA
Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst,2023,10.3390/land12010184,{},sample 1000,included,NA
Lake Nasser Evaporation Reduction Study,2010,10.1016/j.jare.2010.09.002,{},sample 1000,included,NA
Use Of Remote Sensing In Control Of Good Agricultural And Environmental Conditions On Agricultural Farms,NA,10.2478/ecoq-2013-0018,{},classifier round 2,included,NA
Potential Of Virtual Earth Observation Constellations In Archaeological Research,NA,10.3390/s19194066,{},classifier round 2,included,NA
Enabling Efficient Service Function Chains At Terrestrial-Satellite Hybrid Cloud Networks,NA,10.1109/mnet.2019.1800426,{},classifier round 1,included,NA
Bayesian framework for assessing the value of scientific space systems: value of information approach with application to earth science spacecraft,2013,https://doi.org/10.1016/j.actaastro.2012.10.036,{},soc ben repo,included,NA
A professional review for integration of earth observations into FEWS NET decision support,2009,978-161567322-3,"{""value = essential vars""}",soc ben repo,included,NA
Practical Applications Of Remote Sensing Technology - An Industry Perspective,NA,10.21273/horttech.10.3.475,{},classifier round 2b,included,NA
Drone-Mounted Lidar Survey Of Maya Settlement And Landscape,NA,10.1017/laq.2019.51,{},classifier round 2b,included,NA
"Monitoring Soil-Plant Interactions And Maize Yield By Satellite Vegetation Indexes, Soil Electrical Conductivity And Management Zones",NA,10.1007/s11119-023-09994-8,{},classifier round 1,included,NA
An Observing System Simulation Experiment Framework For Air Quality Forecasts In Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer And Surface Monitored Aerosol Data,NA,10.3390/rs14020389,{},classifier round 2a,included,NA
On Timeliness And Accuracy Of Wildfire Detection By The Goes Wf-Abba Algorithm Over California During The 2006 Fire Season,NA,10.1016/j.rse.2012.09.001,{},classifier round 2a,included,NA
The Added Value Of A Proposed Satellite Imager For Ground Level Particulate Matter Analyses And Forecasts,NA,10.1109/jstars.2009.2034613,{},classifier round 2a,included,NA
Atmospheric Remote Sensing Using Global Navigation Satellite Systems: From Formosat-3/Cosmic To Formosat-7/Cosmic-2,2021,10.3319/tao.2021.11.15.02,{maybe},sample 1000,included,NA
"Mapping Daily Evapotranspiration At Field Scale Using The Harmonized Landsat And Sentinel-2 Dataset, With Sharpened Viirs As A Sentinel-2 Thermal Proxy",2021,10.3390/rs13173420,{},sample 1000,included,NA
"Broadband, Red-Edge Information From Satellites Improves Early Stress Detection In A New Mexico Conifer Woodland",2011,10.1016/j.rse.2011.09.002,{},sample 1000,included,NA
Site- And Time-Specific Early Weed Control Is Able To Reduce Herbicide Use In Maize - A Case Study,NA,10.4081/ija.2021.1780,{},classifier round 2b,included,NA
Possibility Investigation Of Tree Diversity Mapping Using Landsat Etm+ Data In The Hyrcanian Forests Of Iran,2010,10.1016/j.rse.2010.02.004,{},sample 1000,included,NA
Impacts Of Geospatial Information For Decision Making,NA,10.1007/978-3-319-01821-8_10,{},classifier round 2a,included,NA
An Economic Value of Remote-Sensing Information—Application to Agricultural Production and Maintaining Groundwater Quality,2012,https://pubs.usgs.gov/pp/1796/,{},soc ben repo,included,NA
Getting the Most out of Ensemble Forecasts: A Valuation Model Based on User–Forecast Interactions,2008,https://doi.org/10.1175/2008JAMC1899.1,{},soc ben repo,included,NA
"Automated Predictive Ecological Mapping In A Forest Region Of Bc,: Canada, 2001-2005",NA,10.1016/j.geoderma.2007.04.027,{},classifier round 2b,included,NA
Economic Valuation Of Mangroves In The Niger Delta: An Interdisciplinary Approach,NA,10.1002/9781444392241.ch15,"{""probs not""}",classifier round 2a,included,NA
Eye In The Sky,2005,10.1016/s1471-0846(05)70433-9,{maybe},classifier round 1,included,NA
Intangible economic benefit of remote sensing data in Indonesia,2020,https://doi.org/10.20525/ijrbs.v9i7.941,{},soc ben repo,included,NA
Economic value of environmental and weather information for agricultural decisions – A case study for Oklahoma Mesonet,2018,https://doi.org/10.1016/j.agee.2018.07.008,{},soc ben repo,included,NA
Alternative Spatially Enhanced Integrative Techniques For Mapping Seagrass In Florida's Marine Ecosystem,NA,10.1080/01431161.2012.721941,{},classifier round 2b,included,NA
Future Earth Observation Strategy For Societal Benefits,2005,10.1109/IGARSS.2005.1526433,{cco},early,included,NA
Socio-Economic Benefits from the Use of Earth Observations,2011,https://doi.org/10.2788/78532,{maybe},soc ben repo,included,NA
"Smart Environmental Monitoring And Assessment Technologies (Semat)—A New Paradigm For Low-Cost, Remote Aquatic Environmental Monitoring",NA,10.3390/s18072248,{},classifier round 2,included,NA
Acquisition Of Earth Science Remote Sensing Observations From Commercial Sources: Lessons Learned From The Space Imaging Ikonos Example,NA,10.1016/j.rse.2003.06.007,{},classifier round 2,included,NA
Exploring The Potential Value Of Satellite Remote Sensing To Monitor Chlorophyll-A For Us Lakes And Reservoirs,NA,10.1007/s10661-020-08631-5,{},classifier round 2a,included,NA
Monitoring Daily Evapotranspiration Over Two California Vineyards Using Landsat 8 In A Multi-Sensor Data Fusion Approach,NA,10.1016/j.rse.2015.10.025,{},classifier round 2,included,NA
Uav To Inform Restoration: A Case Study From A California Tidal Marsh,NA,10.3389/fenvs.2021.642906,{},classifier round 2b,included,NA
Role Of Satellite Remote Sensing In The Geographic Information Economics In France,NA,10.1016/0924-2716(91)90065-4,{},classifier round 2a,included,NA
What is the Economic Value of Satellite Imagery?,2013,https://pubs.usgs.gov/fs/2013/3003/,{},soc ben repo,included,NA
The Value of Earth Observation for Managing the Great Barrier Reef,2009,https://research.vu.nl/ws/portalfiles/portal/2608005/235180.pdf,"{""in benchmarks?""}",soc ben repo,included,NA
Designing An Observing System To Study The Surface Biology And Geology (Sbg) Of The Earth In The 2020s,NA,10.1029/2021jg006471,"{""special collection intro""}",classifier round 2b,included,NA
Securing Sustainability In Indian Agriculture Through Civilian Uav: A Responsible Innovation Perspective,NA,10.1007/s42452-019-1901-6,{},classifier round 2a,included,NA
"Food, Water, And Fault Lines: Remote Sensing Opportunities For Earthquake-Response Management Of Agricultural Water",2016,10.1016/j.scitotenv.2016.05.146,{},sample 1000,included,NA
Machine Learning As A Strategic Tool For Helping Cocoa Farmers In Cote D'ivoire,NA,10.3390/s23177632,{maybe},classifier round 1,included,NA
Multilayer Data And Artificial Intelligence For The Delineation Of Homogeneous Management Zones In Maize Cultivation,NA,10.3390/rs15123131,{},classifier round 2a,included,NA
Evaluating The Public Value Of Improving Early Detection Accuracy Of Cumulonimbus Using A Geostationary Satellite In South Korea,NA,10.1016/j.spacepol.2022.101507,{},classifier round 2,included,NA
"New Ways Of Valuing Ecosystem Services: Big Data, Machine Learning, And The Value Of Urban Green Spaces",NA,10.4337/9781789900057.00014,{},classifier round 2b,included,NA
"Experiences From Near-Real-Time Satellite-Based Volcano Monitoring In Central America: Case Studies At Fuego, Guatemala",NA,10.1080/01431160802168301,{},classifier round 2,included,NA
A Systems Engineering Approach To Estimating Uncertainty In Above-Ground Biomass (Agb) Derived From Remote-Sensing Data,NA,10.1002/sys.21275,{},classifier round 2b,included,NA
Multi-Decadal Assessment Of Soil Loss In A Mediterranean Region Characterized By Contrasting Local Climates,2022,10.3390/land11071010,"{""probably not""}",classifier round 1,included,NA
Real-Time Loss Estimation As An Emergency Response Decision Support System: The Early Post-Earthquake Damage Assessment Tool (Epedat),NA,10.1193/1.1585982,{},classifier round 2b,included,NA
"Intercomparison Of Uav, Aircraft And Satellite Remote Sensing Platforms For Precision Viticulture",NA,10.3390/rs70302971,{},classifier round 2b,included,NA
No Pixel Left Behind: Toward Integrating Earth Observations For Agriculture Into The United Nations Sustainable Development Goals Framework,2019,10.1016/j.rse.2019.111470,{},classifier excl sample,included,NA
Ascribing Societal Benefit to Environmental Observations of Earth from Space,2006,https://dx.doi.org/10.2139/ssrn.901785,"{""in benchmarks?""}",soc ben repo,included,NA
Runoff Estimation In The Upper Reaches Of The Heihe River Using An Lstm Model With Remote Sensing Data,NA,10.3390/rs14102488,{},classifier round 2,included,NA
"Integrative Geospatial Approaches For The Comprehensive Monitoring And Assessment Of Land Management Sustainability: Rationale, Potentials, And Characteristics",NA,10.1002/ldr.1074,{},classifier round 2a,included,NA
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,2022,https://ejournals.bc.edu/index.php/orac/article/view/15255,{},soc ben repo,included,NA
The Sea From Space-Applying Remote Sensing To Societal Needs,NA,10.4031/002533207787442097,{},classifier round 2,included,NA
Terrestrial And Orbital Spectral Models For The Determination Of Soil Attributes: Potential And Costs,NA,10.1590/s0006-87052011000300017,{},classifier round 2b,included,NA
Using Publicly Available Satellite Imagery And Deep Learning To Understand Economic Well-Being In Africa,NA,10.1038/s41467-020-16185-w,{},classifier round 2,included,NA
"Remote Sensing For The Study, Protection And Conservation Of Cultural Heritage: The Experience Of Itaca Mission In Southern America (2007-2013)",NA,10.1201/b17802,{},classifier round 2,included,NA
"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps",2022,https://doi.org/10.3389/fenvs.2022.788843,{},soc ben repo,included,NA
"Comparison Of Rs/Gis Analysis With Classic Mapping Approaches For Siting Low-Yield Boreholes For Hand Pumps In Crystalline Terrains. An Application To Rural Communities Of The Caimbambo Province, Angola",NA,10.1016/j.jafrearsci.2017.10.025,{},classifier round 2b,included,NA
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model For Urban Areas,NA,10.1016/j.uclim.2022.101187,{},classifier round 2a,included,NA
Integrating Drone Imagery With Existing Rangeland Monitoring Programs,2020,10.1007/s10661-020-8216-3,{},sample 1000,included,NA
Data Assimilation Of Volcanic Aerosol Observations Using Fall3d+Pdaf,NA,10.5194/acp-22-1773-2022,{maybe},classifier round 2b,included,NA
"Artisanal Exploitation Of Mineral Resources: Remote Sensing Observations Of Environmental Consequences, Social And Ethical Aspects",NA,10.1007/s10712-022-09740-1,{},classifier round 2,included,NA
Use Of Satellite Data In Coastal Zone Programmes,NA,10.1016/0302-184x(76)90011-1,{},classifier round 2,included,NA
Possibilities Of The Practical Application Of Remote Sensing Data In Real Property Appraisal,NA,10.1515/remav-2015-0016,"{""is real estate a soc ben?""}",classifier round 2a,included,NA
Satellite Sensors And Retrieval Algorithms Of Atmospheric Methane,2023,10.3788/aos230429,{},sample 1000,included,NA
Satellite Remote Sensing For Water Resources Management: Potential For Supporting Sustainable Development In Data-Poor Regions,NA,10.1029/2017wr022437,{},classifier round 2,included,NA
Population And Dwelling Unit Estimates From Space,NA,10.3828/twpr.18.2.ul31w6q4447g120r,{},classifier round 2b,included,NA
Remote Sensing Of Wetlands: Case Studies Comparing Practical Techniques,NA,10.2112/jcoastres-d-10-00174.1,{},classifier round 2a,included,NA
The Economics Of Atmosphere Monitoring Systems: Theory And Applications,NA,10.1007/bf02423388,{},classifier round 2b,included,NA
The Value of Weather Information in Market Equilibrium,1990,https://doi.org/10.2307/1243145,{},soc ben repo,included,NA
Nasa's Early Adopter Program Links Satellite Data To Decision Making,NA,10.3390/rs11040406,{},classifier round 2,included,NA
Potential Of Npp-Viirs Nighttime Light Imagery For Modeling The Regional Economy Of China,NA,10.3390/rs5063057,{},classifier round 2a,included,NA
Use of climate information for socio-economic benefits,2010,https://doi.org/10.1016/j.proenv.2010.09.025,"{""public good"",maybe}",soc ben repo,included,NA
The Value Of Rapid Damage Assessment For Efficient Earthquake Response,NA,10.1016/j.ssci.2011.03.008,{},classifier round 2a,included,NA
