author,journal,year,doi,bibtex_source,benchmark,doc_id
achu,2021 ieee india geoscience and remote sensing symposium ingarss 2021 proceedings,2021,10.1109/ingarss51564.2021.9792034,scopus.bib,FALSE,84
achu,ecological informatics,2021,10.1016/j.ecoinf.2021.101348,scopus.bib,FALSE,85
acierto,journal of disaster research,2018,10.20965/jdr.2018.p0116,scopus.bib,FALSE,86
ackerman,meteorological applications,1994,10.1002/met.5060010203,scopus.bib,FALSE,87
acuna,lecture notes in computer science including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics ,2016,10.1007/978-3-319-30285-0_6,scopus.bib,FALSE,88
acunaalonso,ecological informatics,2022,10.1016/j.ecoinf.2022.101777,scopus.bib;wos_2001_2500.bib,FALSE,89
adami,international journal of applied earth observation and geoinformation,2018,10.1016/j.jag.2018.02.010,scopus.bib,FALSE,90
adamo,technological forecasting and social change,2022,10.1016/j.techfore.2022.121841,scopus.bib;wos_1001_1500.bib,FALSE,91
adamo,landscape ecology,2014,10.1007/s10980-014-0028-9,scopus.bib,FALSE,92
adams,monthly notices of the royal astronomical society,2021,10.1093/mnras/staa624,scopus.bib,FALSE,93
adams,forest ecology and management,2019,10.1016/j.foreco.2018.12.018,scopus.bib,FALSE,94
adams,infrastructure risk management processes natural accidental and deliberate hazards,2006,10.1061/9780784408155.ch03,scopus.bib,FALSE,95
adams,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2004,NA,scopus.bib,FALSE,96
adan,remote sensing applications society and environment,2021,10.1016/j.rsase.2021.100566,scopus.bib;wos_1501_2000.bib,FALSE,97
adar,agriculture ecosystems and environment,2023,10.1016/j.agee.2023.108674,scopus.bib,FALSE,98
addona,water switzerland ,2022,10.3390/w14070999,scopus.bib,FALSE,99
ade abiodun,international journal of remote sensing,1993,10.1080/01431169308953992,scopus.bib,FALSE,100
adebola,new space the journal of space entrepreneurship and innovation,2021,10.1089/space.2020.0040,wos_0501_1000.bib,FALSE,101
adebola,61st international astronautical congress 2010 iac 2010,2010,NA,scopus.bib,FALSE,102
adedeji,neural computing and applications,2021,10.1007/s00521-021-06001-x,scopus.bib,FALSE,103
adedeji,the political ecology of oil and gas activities in the nigerian aquatic ecosystem,2018,10.1016/b978-0-12-809399-3.00012-4,scopus.bib,FALSE,104
adekunle,middle east journal of scientific research,2013,10.5829/idosi.mejsr.2013.13.9.1004,scopus.bib,FALSE,105
adenle,sustainability switzerland ,2017,10.3390/su9112124,scopus.bib,FALSE,106
adeyemi,forestist,2022,10.5152/forestis.2022.21039,scopus.bib,FALSE,107
adeyemi,journal of applied remote sensing,2021,10.1117/1.jrs.15.024510,scopus.bib;wos_3001_3500.bib,FALSE,108
adhikari,forests,2018,10.3390/f9090554,scopus.bib,FALSE,109
adib,acrs 2020 41st asian conference on remote sensing,2020,NA,scopus.bib,FALSE,110
adilov,journal of space safety engineering,2023,10.1016/j.jsse.2023.01.002,scopus.bib,FALSE,111
adilov,environmental and resource economics,2015,10.1007/s10640-013-9758-4,scopus.bib,FALSE,112
adinarayana,modelling soil erosion sediment transport and closely related hydrological processes,1998,NA,scopus.bib,FALSE,113
adinarayana,land degradation development,1995,10.1002/ldr.3400060305,scopus.bib,FALSE,114
adinarayana,journal of environmental management,1995,10.1016/s0301-4797(95)90374-7,scopus.bib,FALSE,115
adler,mountain research and development,2018,10.1659/mrd-journal-d-8-00065.1,scopus.bib,FALSE,116
adler,8th international conference on information systems for crisis response and management from early warning systems to preparedness and training iscram 2011,2011,NA,scopus.bib,FALSE,117
adler,biomedical instrumentation and technology,1998,NA,scopus.bib,FALSE,118
adnan,iop conference series earth and environmental science,2021,10.1088/1755-1315/620/1/012017,scopus.bib,FALSE,119
adriaens,biotechnology advances,2003,10.1016/j.biotechadv.2003.08.017,scopus.bib,FALSE,120
adriaensen,acta astronautica,2015,10.1016/j.actaastro.2015.07.033,scopus.bib,FALSE,121
adugyamfi,international journal of disaster resilience in the built environment,2022,10.1108/ijdrbe-06-2022-0062,scopus.bib,FALSE,122
aerts,science of the total environment,2016,10.1016/j.scitotenv.2016.02.034,scopus.bib;wos_1001_1500.bib,FALSE,123
afan,conservation biology,2018,10.1111/cobi.13154,scopus.bib;wos_2001_2500.bib,FALSE,124
afanaseva,international multidisciplinary scientific geoconference surveying geology and mining ecology management sgem,2018,10.5593/sgem2018/2.2/s08.005,scopus.bib,FALSE,125
affek,forest ecology and management,2017,10.1016/j.foreco.2017.09.047,scopus.bib,FALSE,126
afizzul,iop conference series earth and environmental science,2020,10.1088/1755-1315/540/1/012012,scopus.bib,FALSE,127
afreen,international journal of disaster resilience in the built environment,2022,10.1108/ijdrbe-09-2020-0104,scopus.bib,FALSE,128
afrin,geophysical research letters,2020,10.1029/2020gl088988,wos_0001_0500.bib,FALSE,129
agapiou,sensors switzerland ,2019,10.3390/s19194066,scopus.bib,FALSE,130
agapiou,proceedings of spie the international society for optical engineering,2014,10.1117/12.2066314,scopus.bib,FALSE,131
agapiou,proceedings of spie the international society for optical engineering,2009,10.1117/12.830554,scopus.bib,FALSE,132
agar,nephrology,2010,10.1111/j.1440-1797.2009.01255.x,scopus.bib,FALSE,133
agar,nephrology,2005,10.1111/j.1440-1797.2005.00471.x,scopus.bib,FALSE,134
agarwal,international journal of recent technology and engineering,2019,10.35940/ijrte.c3918.098319,scopus.bib,FALSE,135
agbabiaka,international journal of tourism cities,2023,10.1108/ijtc-08-2022-0190,scopus.bib,FALSE,136
agbaje,geojournal,2018,10.1007/s10708-017-9840-5,scopus.bib;wos_0501_1000.bib,FALSE,137
agduma,biodiversity data journal,2023,10.3897/bdj.11.e100050,scopus.bib,FALSE,138
aggelopoulou,precision agriculture 2009 papers presented at the 7th european conference on precision agriculture ecpa 2009,2009,NA,scopus.bib,FALSE,139
agha,water research,2012,10.1016/j.watres.2012.03.005,scopus.bib,FALSE,140
agha taher,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2015,10.5194/isprsarchives-xl-1-w5-15-2015,scopus.bib,FALSE,141
aghababaei,remote sensing,2022,10.3390/rs14184452,scopus.bib,FALSE,142
aghakouchak,nature reviews earth and environment,2023,10.1038/s43017-023-00457-2,scopus.bib,FALSE,143
aghdam,environmental earth sciences,2017,10.1007/s12665-017-6558-0,scopus.bib,FALSE,144
agostinho,applied geography,2023,10.1016/j.apgeog.2023.103080,scopus.bib,FALSE,145
agosto,applied geomatics,2013,10.1007/s12518-013-0104-x,scopus.bib,FALSE,146
agri,british journal of surgery,2021,10.1093/bjs/znab377,scopus.bib,FALSE,147
agrillo,remote sensing,2021,10.3390/rs13071231,scopus.bib,FALSE,148
aguda,management of environmental quality,2013,10.1108/14777831311291159,wos_0001_0500.bib,FALSE,149
agudelohz,scientific reports,2023,10.1038/s41598-023-29243-2,scopus.bib,FALSE,150
aguiar,journal of global economic analysis,2016,10.21642/jgea.010103af,scopus.bib;wos_2501_3000.bib,FALSE,151
aguiarsilva,ecosistemas,2023,10.7818/ecos.2505,scopus.bib,FALSE,152
aguilar,giscience and remote sensing,2022,10.1080/15481603.2022.2071057,scopus.bib,FALSE,153
aguilar,american society of agricultural and biological engineers annual international meeting 2012 asabe 2012,2012,NA,scopus.bib,FALSE,154
aguilar,american society of agricultural and biological engineers annual international meeting 2010 asabe 2010,2010,NA,scopus.bib,FALSE,155
aguirregutierrez,remote sensing of environment,2021,10.1016/j.rse.2020.112122,scopus.bib,FALSE,156
agyekum,international geoscience and remote sensing symposium igarss ,2012,10.1109/igarss.2012.6350388,scopus.bib,FALSE,157
ahadi,agricultural water management,2013,10.1016/j.agwat.2013.03.010,scopus.bib,FALSE,158
ahamed,science of the total environment,2022,10.1016/j.scitotenv.2021.150635,scopus.bib;wos_0501_1000.bib,FALSE,159
ahamed,seg technical program expanded abstracts,2022,10.1190/image2022-3744433.1,scopus.bib,FALSE,160
ahamed,international journal of applied earth observation and geoinformation,2017,10.1016/j.jag.2017.05.006,wos_0501_1000.bib,FALSE,161
ahearn,international journal of remote sensing,1996,10.1080/01431169608949055,scopus.bib;wos_2001_2500.bib,FALSE,162
ahmad,smart agricultural technology,2023,10.1016/j.atech.2023.100220,scopus.bib,FALSE,163
ahmad,modeling earth systems and environment,2023,10.1007/s40808-022-01548-7,scopus.bib,FALSE,164
ahmad,concepts and applications of remote sensing in forestry,2023,10.1007/978-981-19-4200-6_7,scopus.bib,FALSE,165
ahmad,climate,2023,10.3390/cli11090187,scopus.bib;wos_2501_3000.bib,FALSE,166
ahmad,journal of resources and ecology,2022,10.5814/j.issn.1674-764x.2022.05.007,scopus.bib,FALSE,167
ahmad,modeling earth systems and environment,2019,10.1007/s40808-018-0517-y,scopus.bib;wos_2001_2500.bib,FALSE,168
ahmad,water switzerland ,2018,10.3390/w10121766,scopus.bib,FALSE,169
ahmad,aims agriculture and food,2017,10.3934/agrfood.2017.2.201,scopus.bib;wos_3001_3500.bib,FALSE,170
ahmad,ecological questions,2017,10.12775/eq.2017.006,scopus.bib,FALSE,171
ahmad kamal,environmental pollution,2020,10.1016/j.envpol.2020.113909,scopus.bib,FALSE,172
ahmadi,applied intelligence,2021,10.1007/s10489-020-01903-0,scopus.bib,FALSE,173
ahmadybirgani,catena,2023,10.1016/j.catena.2023.107424,scopus.bib,FALSE,174
ahmed,science of the total environment,2024,10.1016/j.scitotenv.2023.167234,scopus.bib,FALSE,175
ahmed,papers in applied geography,2023,10.1080/23754931.2022.2074304,scopus.bib,FALSE,176
ahmed,journal of coastal conservation,2023,10.1007/s11852-023-00954-y,scopus.bib;wos_3001_3500.bib,FALSE,177
ahmed,water land and forest susceptibility and sustainability geospatial approaches and modeling,2022,10.1016/b978-0-323-91880-0.00018-0,scopus.bib,FALSE,178
ahmed,renewable energy,2022,10.1016/j.renene.2022.06.006,scopus.bib;wos_2001_2500.bib,FALSE,179
ahmed,fresenius environmental bulletin,2021,NA,scopus.bib;wos_2001_2500.bib,FALSE,180
ahmed,water switzerland ,2021,10.3390/w13040525,scopus.bib,FALSE,181
ahmed,remote sensing,2021,10.3390/rs13040554,wos_0001_0500.bib,FALSE,182
ahmed,water,2020,10.3390/w12071902,wos_0501_1000.bib,FALSE,183
ahmed,ieee aerospace conference proceedings,2019,10.1109/aero.2019.8742023,scopus.bib,FALSE,184
ahmed,remote sensing,2019,10.3390/rs11182101,scopus.bib,FALSE,185
ahmed,environmental monitoring and assessment,2019,10.1007/s10661-019-7333-3,scopus.bib,FALSE,186
ahmed,sensors,2018,10.3390/s18051570,wos_0001_0500.bib,FALSE,187
ahmed,egyptian journal of remote sensing and space science,2017,10.1016/j.ejrs.2016.11.001,scopus.bib,FALSE,188
ahmed,international journal of remote sensing,2010,10.1080/01431160903246733,scopus.bib,FALSE,189
ahmed,international geoscience and remote sensing symposium igarss ,2005,10.1109/igarss.2005.1525403,scopus.bib,FALSE,190
ahn,31st asian conference on remote sensing 2010 acrs 2010,2010,NA,scopus.bib,FALSE,191
ahrends,plants people planet,2021,10.1002/ppp3.10189,wos_0001_0500.bib,FALSE,192
ahulu,journal of seismology,2015,10.1007/s10950-015-9486-z,scopus.bib,FALSE,193
ai,atmospheric pollution research,2018,10.1016/j.apr.2018.04.001,scopus.bib,FALSE,194
aiello,trends in earth observation,2019,NA,scopus.bib,FALSE,195
aiello,proceedings of spie the international society for optical engineering,2017,10.1117/12.2277941,scopus.bib,FALSE,196
aikman,NA,1996,NA,wos_3501_3742.bib,FALSE,197
aikman iii,oceans conference record ieee ,1996,NA,scopus.bib,FALSE,198
ainoo,NA,2009,10.1007/978-1-4020-9382-1_4,wos_2501_3000.bib,FALSE,199
ainslie,weather and forecasting,2022,10.1175/waf-d-21-0064.1,wos_0001_0500.bib,FALSE,200
aishwarya gowda,proceedings of the 3rd ieee eurasia conference on iot communication and engineering 2021 ecice 2021,2021,10.1109/ecice52819.2021.9645721,scopus.bib,FALSE,201
aitali,journal of marine science and engineering,2022,10.3390/jmse10030364,scopus.bib;wos_1501_2000.bib,FALSE,202
aitkenhead,soil use and management,2019,10.1111/sum.12491,scopus.bib,FALSE,204
aitkenhead,soil use and management,2019,10.1111/sum.12492,scopus.bib,FALSE,203
aiyetoro,international journal of sensors wireless communications and control,2022,10.2174/2210327911666211013140728,scopus.bib,FALSE,205
aizizi,forests,2023,10.3390/f14091830,scopus.bib,FALSE,206
aja,ecology and evolution,2023,10.1002/ece3.10388,scopus.bib,FALSE,207
ajay,proceedings of the 2017 ieee international conference on communication and signal processing iccsp 2017,2017,10.1109/iccsp.2017.8286664,scopus.bib,FALSE,208
ajtai,land use policy,2020,10.1016/j.landusepol.2019.03.022,scopus.bib,FALSE,209
akbar,forests,2023,10.3390/f14051028,scopus.bib;wos_0501_1000.bib,FALSE,210
akber,journal of land use science,2018,10.1080/1747423x.2018.1529832,scopus.bib;wos_1001_1500.bib,FALSE,211
akbulut,journal of the indian society of remote sensing,2018,10.1007/s12524-018-0871-2,scopus.bib,FALSE,212
akdeniz,journal of coastal conservation,2023,10.1007/s11852-023-00966-8,wos_3501_3742.bib,FALSE,213
akgoz,environmental monitoring and assessment,2022,10.1007/s10661-022-10064-1,scopus.bib;wos_0501_1000.bib,FALSE,214
akhila,indian journal of geosciences,2021,NA,scopus.bib,FALSE,215
akhtar,agriculture switzerland ,2023,10.3390/agriculture13020504,scopus.bib,FALSE,216
akhtar,sustainability switzerland ,2021,10.3390/su132414025,scopus.bib,FALSE,217
akhtar,applied water science,2020,10.1007/s13201-020-1165-8,scopus.bib,FALSE,218
akhtar,environmental monitoring and assessment,2020,10.1007/s10661-020-08546-1,scopus.bib,FALSE,219
akhter,strategic entrepreneurship journal,2016,10.1002/sej.1237,scopus.bib;wos_2501_3000.bib,FALSE,220
akinyemi,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2000,NA,scopus.bib,FALSE,221
akiyama,anuario do instituto de geociencias,2018,10.11137/2018_2_358_368,scopus.bib,FALSE,222
akiyanova,international multidisciplinary scientific geoconference surveying geology and mining ecology management sgem,2020,10.5593/sgem2020/2.2/s10.027,scopus.bib,FALSE,223
akodewou,bois et forets des tropiques,2022,10.19182/bft2022.353.a36995,scopus.bib;wos_2501_3000.bib,FALSE,224
akritidis,atmospheric chemistry and physics,2020,10.5194/acp-20-13557-2020,scopus.bib,FALSE,225
aksoy,advances in space research,2022,10.1016/j.asr.2021.10.024,scopus.bib,FALSE,226
akter,sustainable water resources management,2020,10.1007/s40899-020-00384-w,scopus.bib,FALSE,227
akturk,ocean and coastal management,2021,10.1016/j.ocecoaman.2021.105837,scopus.bib,FALSE,228
akyurek,hydrological processes,2011,10.1002/hyp.8090,scopus.bib,FALSE,229
al aasmi,sensors,2022,10.3390/s22051695,scopus.bib,FALSE,230
al abdouli,sustainability switzerland ,2019,10.3390/su11195406,scopus.bib,FALSE,231
al besher,proceedings of the international astronautical congress iac,2019,NA,scopus.bib,FALSE,232
al ghiffari,2022 ieee asia pacific conference on geoscience electronics and remote sensing technology understanding the interaction of land ocean and atmosphere smart city and disaster mitigation for regional resilience agers 2022 proceeding,2022,10.1109/agers56232.2022.10093536,scopus.bib,FALSE,233
al hadhrami,proceedings of spie the international society for optical engineering,2012,10.1117/12.924257,scopus.bib,FALSE,234
al kloub,computers materials and continua,2022,10.32604/cmc.2022.027847,scopus.bib,FALSE,235
al mansoori,proceedings of the international astronautical congress iac,2019,NA,scopus.bib,FALSE,236
al masud,water,2023,10.3390/w15173159,wos_0001_0500.bib,FALSE,237
al salmi,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2012,NA,scopus.bib,FALSE,238
alabadi,carpathian journal of earth and environmental sciences,2016,NA,scopus.bib;wos_2001_2500.bib,FALSE,239
alabadi,environmental monitoring and assessment,2015,10.1007/s10661-016-5564-0,scopus.bib,FALSE,240
alabadleh,journal of hazardous materials,2021,10.1016/j.jhazmat.2021.125445,scopus.bib;wos_2001_2500.bib,FALSE,241
alabdan,international journal of agricultural and statistical sciences,2018,NA,scopus.bib;wos_0501_1000.bib,FALSE,242
alaizari,remote sensing,2022,10.3390/rs14164050,scopus.bib;wos_1501_2000.bib,FALSE,243
alajmi,remote sensing,2023,10.3390/rs15184600,scopus.bib,FALSE,244
alam,journal of development economics,2022,10.1016/j.jdeveco.2022.102900,wos_2501_3000.bib,FALSE,245
alam,international journal of disaster resilience in the built environment,2018,10.1108/ijdrbe-02-2017-0012,scopus.bib,FALSE,246
alam,lecture notes of the institute for computer sciences social informatics and telecommunications engineering,2010,10.1007/978-3-642-17758-3_24,scopus.bib,FALSE,247
alamdarloo,environmental monitoring and assessment,2018,10.1007/s10661-018-7089-1,scopus.bib,FALSE,248
alamgeer,ieee access,2023,10.1109/access.2023.3283299,scopus.bib,FALSE,249
alamoudi,proceedings of the international astronautical congress iac,2021,NA,scopus.bib,FALSE,250
alaniz,journal of apicultural research,2023,10.1080/00218839.2023.2211339,wos_3001_3500.bib,FALSE,251
alarcon conde,ciriec espana revista de economia publica social y cooperativa,2020,10.7203/ciriec-e.99.14322,wos_3501_3742.bib,FALSE,252
alashloo,journal of the indian society of remote sensing,2013,10.1007/s12524-012-0253-0,scopus.bib,FALSE,253
alawadhi,international review for spatial planning and sustainable development,2017,10.14246/irspsd.5.3_25,scopus.bib;wos_2501_3000.bib,FALSE,254
alawadhi,34th asian conference on remote sensing 2013 acrs 2013,2013,NA,scopus.bib,FALSE,255
alaya,2020 mediterranean and middle east geoscience and remote sensing symposium m2garss 2020 proceedings,2020,10.1109/m2garss47143.2020.9105153,scopus.bib,FALSE,256
albani,energy exploration and exploitation,2014,10.1260/0144-5987.32.2.329,scopus.bib,FALSE,257
albano,water switzerland ,2020,10.3390/w12061834,scopus.bib,FALSE,258
albano,isprs international journal of geo information,2018,10.3390/ijgi7120470,scopus.bib;wos_1001_1500.bib,FALSE,259
alber,international geoscience and remote sensing symposium igarss ,2009,10.1109/igarss.2009.5417692,scopus.bib,FALSE,260
albert,marine pollution bulletin,2021,10.1016/j.marpolbul.2021.112506,scopus.bib,FALSE,261
albert,current anthropology,2007,10.1086/519914,scopus.bib,FALSE,262
albery,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2000,NA,scopus.bib,FALSE,263
albright,journal of aquatic plant management,2004,NA,scopus.bib;wos_0001_0500.bib,FALSE,264
albuquerque,open geosciences,2022,10.1515/geo-2022-0406,scopus.bib,FALSE,265
alcantara costa,hydrological processes,2021,10.1002/hyp.14070,scopus.bib;wos_0501_1000.bib,FALSE,266
alcaras,applied geomatics,2023,10.1007/s12518-021-00411-1,scopus.bib,FALSE,267
alcarazsegura,earth observation of ecosystem services,2013,10.1201/b15628,scopus.bib,FALSE,268
alcarazsegura,remote sensing,2013,10.3390/rs5010127,wos_1001_1500.bib,FALSE,269
aldogom,proceedings of spie the international society for optical engineering,2019,10.1117/12.2533097,scopus.bib,FALSE,270
aldrees,advances in nano research,2021,10.12989/anr.2021.11.3.281,scopus.bib,FALSE,271
alefirenko,international journal of supply chain management,2019,NA,scopus.bib,FALSE,272
alegregodoy,lecture notes of the institute for computer sciences social informatics and telecommunications engineering,2011,10.1007/978-3-642-23825-3_32,scopus.bib,FALSE,273
alessandrini,remote sensing in ecology and conservation,2022,10.1002/rse2.265,scopus.bib;wos_0001_0500.bib,FALSE,274
