title,author,year,doi,key,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Method Of Introducing Innovation To Land Use In Agriculture,"Zavorotin, Evgeniy and Gordopolova, Alla and Tiurina, Nataliya",2018,10.30525/2256-0742/2018-4-3-74-79,zavorotin_methodintroducinginnovationland_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marine Online Platforms Of Services To Public End-Users-The Innovation Of The Odyssea Project,"Majidi Nezhad, Meysam and Neshat, Mehdi and Piras, Giuseppe and Astiaso Garcia, Davide and Sylaios, Georgios",2022,10.3390/rs14030572,majidinezhad_marineonlineplatformsservices_2022,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embedding Smart Technologies In Accounting To Meet Global Irrigation Challenges,"Tingey-Holyoak, Joanne Louise and Pisaniello, John Dean and Buss, Peter",2021,10.1108/medar-03-2020-0835,tingeyholyoak_embeddingsmarttechnologiesaccounting_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geo-Information Processing Service Composition For Concurrent Tasks: A Qos-Aware Game Theory Approach,"Li, H. and Zhu, Q. and Yang, X. and Xu, L.",2012,10.1016/j.cageo.2011.10.007,li_geoinformationprocessingservice_2012,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remote Sensing For Irrigation Water Management In The Semi-Arid Northeast Of Brazil,"Folhes, M. T. and Renno, C. D. and Soares, J. V.",2009,10.1016/j.agwat.2009.04.021,folhes_remotesensingirrigationwater_2009,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multispectral And Thermographic Images For Monitoring The Water Conditions Of Sugarcane,"Silveira, J. M. D. C. and Cândido, B. M. and Silva, A. L. B. D. O. and Pavão, G. C. and Xavier, M. A. and Pires, R. C. D. M.",2020,10.15809/irriga.2020v25n4p689-696,silveira_multispectralthermographicimagesmonitoring_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Economics Of Fishing The High Seas,"Sala, Enric and Mayorga, Juan and Costello, Christopher and Kroodsma, David and Palomares, Maria L. D. and Pauly, Daniel and Rashid Sumaila, U. and Zeller, Dirk",2018,10.1126/sciadv.aat2504,sala_economicsfishingseas_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unmanned Aerial Vehicle System (Uavs) Applications In Forestry And Plantation Operations: Experiences In Sabah And Sarawak, Malaysian Borneo","Suab, Stanley Anak and Avtar, Ram",2020,10.1007/978-3-030-27157-2_8,suab_unmannedaerialvehiclesystem_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Economic Utility Of 3d Remote Sensing Data For Estimation Of Site Index In Nordic Commercial Forest Inventories: A Comparison Of Airborne Laser Scanning, Digital Aerial Photogrammetry And Conventional Practices","Noordermeer, Lennart and Gobakken, Terje and Naesset, Erik and Bollandsas, Ole Martin",2021,10.1080/02827581.2020.1854340,noordermeer_economicutility3dremote_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating Tropical Forest Classification And Field Sampling Stratification From Lidar To Reduce Effort And Enable Landscape Monitoring,"Papa, Daniel de Almeida and Alves de Almeida, Danilo Roberti and Silva, Carlos Alberto and Figueiredo, Evandro Orfano and Stark, Scott C. and Valbuena, Ruben and Estraviz Rodriguez, Luiz Carlos and Neves d'Oliveira, Marcus Vinicio",2020,10.1016/j.foreco.2019.117634,papa_evaluatingtropicalforestclassification_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drone-Based Participatory Mapping: Examining Local Agricultural Knowledge In The Galapagos,"Colloredo-Mansfeld, Mia and Laso, Francisco J. and Arce-Nazario, Javier",2020,10.3390/drones4040062,colloredomansfeld_dronebasedparticipatorymapping_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Integration Of Nautical Charts To Reconstruct 3d Harbor Area Models And Apply Assisted Navigation,"Su, Dong-Taur and Lo, D. C. and Chen, Cheng-Wu and Huang, Yi-Chang",2013,10.1007/s11069-012-0516-7,su_integrationnauticalchartsreconstruct_2013,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evaluating Ecological Outcomes From Environmental Stewardship Initiatives: A Comparative Analysis Of Approaches,"Baird, Julia and Plummer, Ryan and Jollineau, Marilyne and Dale, Gillian",2021,10.1016/j.jenvman.2021.113266,baird_evaluatingecologicaloutcomesenvironmental_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Data And Machine Learning For Weather Risk Management And Food Security,"Biffis, Enrico and Chavez, Erik",2017,10.1111/risa.12847,biffis_satellitedatamachinelearning_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stakeholder Perceptions On The Need For Updated Tree Species Distribution Maps,"Bettinger, Pete and Merry, Krista and Garzon, Alba Rocio Gutierrez and Lee, Taeyoon and Siry, Jacek and McNulty, Steve and Gavazzi, Michael",2021,10.3390/f12101367,bettinger_stakeholderperceptionsupdatedtree_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monitoring Sustainable Urban Development Using Built-Up Area Indicators: A Case Study Of Stellenbosch, South Africa","Musakwa, Walter and Van Niekerk, Adriaan",2015,10.1007/s10668-014-9560-7,musakwa_monitoringsustainableurbandevelopment_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drones Over Mediterranean Landscapes. The Potential Of Small Uav's (Drones) For Site Detection And Heritage Management In Archaeological Survey Projects: A Case Study From Le Pianelle In The Tappino Valley, Molise (Italy)","Stek, Tesse D.",2016,10.1016/j.culher.2016.06.006,stek_dronesmediterraneanlandscapespotential_2016,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scaling Marine Fish Movement Behavior From Individuals To Populations,"Griffiths, Christopher A. and Patterson, Toby A. and Blanchard, Julia L. and Righton, David A. and Wright, Serena R. and Pitchford, Jon W. and Blackwell, Paul G.",2018,10.1002/ece3.4223,griffiths_scalingmarinefishmovement_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seawatch, Performance And Future","Hansen, S. E. and Stel, J. H.",1997,10.1016/s0422-9894(97)80015-3,hansen_seawatchperformancefuture_1997,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Practical Applications Of Remote Sensing Technology - An Industry Perspective,"LeBoeuf, J.",2000,10.21273/horttech.10.3.475,leboeuf_practicalapplicationsremotesensing_2000,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drone-Mounted Lidar Survey Of Maya Settlement And Landscape,"Murtha, Timothy M. and Broadbent, Eben N. and Golden, Charles and Scherer, Andrew and Schroder, Whittaker and Wilkinson, Ben and Zambrano, Angelica Almeyda",2019,10.1017/laq.2019.51,murtha_dronemountedlidarsurvey_2019,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site- And Time-Specific Early Weed Control Is Able To Reduce Herbicide Use In Maize - A Case Study,"Nikolic, Nebojsa and Rizzo, Davide and Marraccini, Elisa and Gotor, Alicia Ayerdi and Mattivi, Pietro and Saulet, Pierre and Persichetti, Antonio and Masin, Roberta",2021,10.4081/ija.2021.1780,nikolic_sitetimespecificweed_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Automated Predictive Ecological Mapping In A Forest Region Of Bc,: Canada, 2001-2005","MacMillan, Robert A. and Moon, David E. and Coupe, Ray A.",2007,10.1016/j.geoderma.2007.04.027,macmillan_automatedpredictiveecologicalmapping_2007,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternative Spatially Enhanced Integrative Techniques For Mapping Seagrass In Florida's Marine Ecosystem,"Baumstark, R. and Dixon, B. and Carlson, P. and Palandro, D. and Kolasa, K.",2013,10.1080/01431161.2012.721941,baumstark_alternativespatiallyenhancedintegrative_2013,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uav To Inform Restoration: A Case Study From A California Tidal Marsh,"Haskins, John and Endris, Charlie and Thomsen, Alexandra S. and Gerbl, Fuller and Fountain, Monique C. and Wasson, Kerstin",2021,10.3389/fenvs.2021.642906,haskins_uavinformrestorationstudy_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Designing An Observing System To Study The Surface Biology And Geology (Sbg) Of The Earth In The 2020s,"Stavros, E. Natasha and Chrone, Jon and Cawse-Nicholson, Kerry and Freeman, Anthony and Glenn, Nancy F. and Guild, Liane and Kokaly, Raymond and Lee, Christine and Luvall, Jeffrey and Pavlick, Ryan and Poulter, Benjamin and Uz, Stephanie Schollaert and Serbin, Shawn and Thompson, David R. and Townsend, Philip A. and Turpie, Kevin and Yuen, Karen and Thome, Kurt and Wang, Weile and Zareh, Shannon-Kian and Nastal, Jamie and Bearden, David and Miller, Charles E. and Schimel, David",2023,10.1029/2021jg006471,stavros_designingobservingsystemstudy_2023,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Ways Of Valuing Ecosystem Services: Big Data, Machine Learning, And The Value Of Urban Green Spaces","Krekel, C. and Kolbe, J.",2020,10.4337/9781789900057.00014,krekel_valuingecosystemservicesdata_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Systems Engineering Approach To Estimating Uncertainty In Above-Ground Biomass (Agb) Derived From Remote-Sensing Data,"Weisbin, Charles R. and Lincoln, William and Saatchi, Sassan",2014,10.1002/sys.21275,weisbin_systemsengineeringapproachestimating_2014,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Real-Time Loss Estimation As An Emergency Response Decision Support System: The Early Post-Earthquake Damage Assessment Tool (Epedat),"Eguchi, R. T. and Goltz, J. D. and Seligson, H. A. and Flores, P. J. and Biais, N. C. and Heaton, T. H. and Bortugno, E.",1997,10.1193/1.1585982,eguchi_realtimelossestimation_1997,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intercomparison Of Uav, Aircraft And Satellite Remote Sensing Platforms For Precision Viticulture","Matese, A. and Toscano, P. and Di Gennaro, S. F. and Genesio, L. and Vaccari, F. P. and Primicerio, J. and Belli, C. and Zaldei, A. and Bianconi, R. and Gioli, B.",2015,10.3390/rs70302971,matese_intercomparisonuavaircraftsatellite_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrestrial And Orbital Spectral Models For The Determination Of Soil Attributes: Potential And Costs,"Sousa Junior, J. G. and Demattê, J. A. M. and Araújo, S. R.",2011,10.1590/s0006-87052011000300017,sousajunior_terrestrialorbitalspectralmodels_2011,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comparison Of Rs/Gis Analysis With Classic Mapping Approaches For Siting Low-Yield Boreholes For Hand Pumps In Crystalline Terrains. An Application To Rural Communities Of The Caimbambo Province, Angola","Martin-Loeches, Miguel and Reyes-Lopez, Jaime and Ramirez-Hernandez, Jorge and Temino-Vela, Javier and Martinez-Santos, Pedro",2018,10.1016/j.jafrearsci.2017.10.025,martinloeches_comparisonrsgisanalysis_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data Assimilation Of Volcanic Aerosol Observations Using Fall3d+Pdaf,"Mingari, Leonardo and Folch, Arnau and Prata, Andrew T. and Pardini, Federica and Macedonio, Giovanni and Costa, Antonio",2022,10.5194/acp-22-1773-2022,mingari_dataassimilationvolcanicaerosol_2022,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Population And Dwelling Unit Estimates From Space,"Webster, C. J.",1996,10.3828/twpr.18.2.ul31w6q4447g120r,webster_populationdwellingunitestimates_1996,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Economics Of Atmosphere Monitoring Systems: Theory And Applications,"Sassone, P. G.",1982,10.1007/bf02423388,sassone_economicsatmospheremonitoringsystems_1982,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valuing Satellite Systems To Support Fishing In A Dynamic Competitive Model,"Collard, F. and Haritchabalet, C.",2012,10.1080/00036846.2010.526581,collard_valuingsatellitesystemssupport_2012,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advances In Precision Agriculture In South-Eastern Australia. I. A Regression Methodology To Simulate Spatial Variation In Cereal Yields Using Farmers' Historical Paddock Yields And Normalised Difference Vegetation Index,"Fisher, P. D. and Abuzar, M. and Rab, M. A. and Best, F. and Chandra, S.",2009,10.1071/cp08347,fisher_advancesprecisionagriculturesouth_2009,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eo Products For Drought Risk Reduction,"Srivastava, S. K. and Bandyopadhyay, S. and Gowrisankar, D. and Shrivastava, N. K. and Hegde, V. S. and Jayaraman, V.",2009,10.1007/978-1-4020-9573-3_15,srivastava_eoproductsdroughtrisk_2009,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Transformation Of Earth-System Observations Into Information Of Socio-Economic Value In Geoss,"Hollingsworth, A. and Uppala, S. and Klinker, E. and Burridge, D. and Vitart, F. and Onvlee, J. and de Vries, J. W. and de Roo, A. D. and Pfrang, C.",2006,10.1256/qj.05.181,hollingsworth_transformationearthsystemobservations_2006,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Effect Of Data Acquisition Accuracy On Timing Of Stand Harvests And Expected Net Present Value,"Holopainen, Markus and Talvitie, Mervi",2006,10.14214/sf.335,holopainen_effectdataacquisitionaccuracy_2006,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Improved Rangeland Management With An Earth Resource Survey System,"Bard, J. F. and Watkins, A.",1983,10.1016/0040-1625(83)90003-3,bard_improvedrangelandmanagementearth_1983,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite Eo For Disasters, Risk, And Security: An Evolving Landscape","de Boissezon, H. and Eddy, A.",2020,10.1007/978-3-030-23210-8_93,deboissezon_satelliteeodisastersrisk_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Production, Property, And The Construction Of Remotely Sensed Data","Alvarez León, L. F. and Gleason, C. J.",2017,10.1080/24694452.2017.1293498,alvarezleon_productionpropertyconstructionremotely_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uptake And Barriers To The Use Of Geospatial Technologies In Forest Management,"Morgenroth, Justin and Visser, Rien",2013,10.1186/1179-5395-43-16,morgenroth_uptakebarriersgeospatialtechnologies_2013,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensuring Agricultural Sustainability Through Remote Sensing In The Era Of Agriculture 5.0,"Martos, Vanesa and Ahmad, Ali and Cartujo, Pedro and Ordonez, Javier",2021,10.3390/app11135911,martos_ensuringagriculturalsustainabilityremote_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sampling And Mapping A Soil Erosion Cover Factor By Integrating Stratification, Model Updating And Cokriging With Images","Wang, G. and Gertner, G. and Anderson, A. B.",2007,10.1007/s00267-005-0222-2,wang_samplingmappingsoilerosion_2007,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover. Operation Iraqi Freedom In Modis Collage,"Miller, S. D. and Hawkins, J. D. and Lee, T. F. and Turk, F. J. and Richardson, K.",2006,10.1080/01431160500383673,miller_coveroperationiraqifreedom_2006,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
A New Fusion Approach For Extracting Urban Built-Up Areas From Multisource Remotely Sensed Data,"Ma, Xiaolong and Li, Chengming and Tong, Xiaohua and Liu, Sicong",2019,10.3390/rs11212516,ma_fusionapproachextractingurban_2019,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Locating Existing Best Management Practices Within A Watershed: The Value Of Multiple Methods,"Grady, Caitlin A. and Reimer, Adam P. and Frankenberger, Jane and Prokopy, Linda Stalker",2013,10.1111/jawr.12041,grady_locatingexistingmanagementpractices_2013,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Think Global, Cube Local: An Earth Observation Data Cube's Contribution To The Digital Earth Vision","Sudmanns, Martin and Augustin, Hannah and Killough, Brian and Giuliani, Gregory and Tiede, Dirk and Leith, Alex and Yuan, Fang and Lewis, Adam",2023,10.1080/20964471.2022.2099236,sudmanns_globalcubelocalearth_2023,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forests In Climate Policy: Technical, Institutional And Economic Issues In Measurement And Monitoring","Macauley, Molly K. and Sedjo, Roger A.",2011,10.1007/s11027-010-9276-4,macauley_forestsclimatepolicytechnical_2011,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
An Interaction Methodology To Collect And Assess User-Driven Requirements To Define Potential Opportunities Of Future Hyperspectral Imaging Sentinel Mission,"Taramelli, A. and Tornato, A. and Magliozzi, M. L. and Mariani, S. and Valentini, E. and Zavagli, M. and Costantini, M. and Nieke, J. and Adams, J. and Rast, M.",2020,10.3390/rs12081286,taramelli_interactionmethodologycollectassess_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Population Density Estimations For Disaster Management: Case Study Rural Zimbabwe,"Schneiderbauer, S. and Ehrlich, D.",2005,10.1007/3-540-27468-5_64,schneiderbauer_populationdensityestimationsdisaster_2005,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Using Technology To Improve The Management Of Development Impacts On Biodiversity,"White, Thomas B. and Viana, Leonardo R. and Campbell, Genevieve and Elverum, Claire and Bennun, Leon A.",2021,10.1002/bse.2816,white_technologyimprovemanagementdevelopment_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Increasing Need For Geographical Information Technology (Git) Tools In Geoconservation And Geotourism,"Williams, Mark A. and McHenry, Melinda T.",2020,10.30486/gcr.2020.1901102.1019,williams_increasinggeographicalinformationtechnology_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Rise Of Low-Cost Sensing For Managing Air Pollution In Cities,"Kumar, P. and Morawska, L. and Martani, C. and Biskos, G. and Neophytou, M. and Di Sabatino, S. and Bell, M. and Norford, L. and Britter, R.",2015,10.1016/j.envint.2014.11.019,kumar_riselowcostsensing_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chasing Aeroplanes: Developing A Vehicle-Towed Caesium Magnetometer Array To Complement Aerial Photography Over Three Recently Surveyed Sites In The Uk,"Linford, N. and Linford, P. and Payne, A.",2015,10.3997/1873-0604.2015044,linford_chasingaeroplanesdevelopingvehicle_2015,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benefits Of Increasing Information Accuracy In Variable Rate Technologies,"Spaeti, Karin and Huber, Robert and Finger, Robert",2021,10.1016/j.ecolecon.2021.107047,spaeti_benefitsincreasinginformationaccuracy_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Both Real-Time And Long-Term Environmental Data Perform Well In Predicting Shorebird Distributions In Managed Habitat,"Conlisk, Erin E. and Golet, Gregory H. and Reynolds, Mark D. and Barbaree, Blake A. and Sesser, Kristin A. and Byrd, Kristin B. and Veloz, Sam and Reiter, Matthew E.",2022,10.1002/eap.2510,conlisk_realtimetermenvironmental_2022,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Constellation Design For Forest Fire Monitoring Via A Stochastic Programing Approach,"Hoskins, Aaron B. and Medal, Hugh R. and Rashidi, Eghbal",2017,10.1002/nav.21781,hoskins_satelliteconstellationdesignforest_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparing The Hedging Effectiveness Of Weather Derivatives Based On Remotely Sensed Vegetation Health Indices And Meteorological Indices,"Moellmann, Johannes and Buchholz, Matthias and Musshoff, Oliver",2018,10.1175/wcas-d-17-0127.1,moellmann_comparinghedgingeffectivenessweather_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Understanding Measurement Reporting And Verification Systems For Redd+ As An Investment For Generating Carbon Benefits,"Di Lallo, G. and Mundhenk, P. and Marchetti, M. and Köhl, M.",2017,10.3390/f8080271,dilallo_understandingmeasurementreportingverification_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Successful Practical Experience With Dedicated Geostationary Operational Environmental Satellites Goes-10 And-12 Supporting Brazil,"Costa, Simone M. S. and Negri, Renato G. and Ferreira, Nelson J. and Schmit, Timothy J. and Arai, Nelson and Flauber, Wagner and Ceballos, Juan and Vila, Daniel and Rodrigues, Jurandir and Machado, Luiz A. and Pereira, Sergio and Bottino, Marcus Jorge and Sismanoglu, Raffi Agop and Langden, Pedro",2018,10.1175/bams-d-16-0029.1,costa_successfulpracticalexperiencededicated_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Supporting Operational Site-Specific Fertilization In Rice Cropping Systems With Infield Smartphone Measurements And Sentinel-2 Observations,"Nutini, Francesco and Confalonieri, Roberto and Paleari, Livia and Pepe, Monica and Criscuolo, Laura and Porta, Francesco and Ranghetti, Luigi and Busetto, Lorenzo and Boschetti, Mirco",2021,10.1007/s11119-021-09784-0,nutini_supportingoperationalsitespecific_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Technical And Economic Feasibility Of Implementing Lidar In A Forest Company,"Alzamora, Rosa M. and Cesar Becker, Julio and Escudero, Manuel and Pinto Rodriguez, Antonio Alfonso",2021,10.21829/myb.2021.2721661,alzamora_technicaleconomicfeasibilityimplementing_2021,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esa Space Spin-Offs Benefits For The Health Sector,"Szalai, B. and Detsis, E. and Peeters, W.",2012,10.1016/j.actaastro.2012.05.015,szalai_esaspacespinoffs_2012,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fire Spread Predictions: Sweeping Uncertainty Under The Rug,"Benali, Akli and Sa, Ana C. L. and Ervilha, Ana R. and Trigo, Ricardo M. and Fernandes, Paulo M. and Pereira, Jose M. C.",2017,10.1016/j.scitotenv.2017.03.106,benali_firespreadpredictionssweeping_2017,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benefits Of The Next Generation Geostationary Meteorological Satellite Observation And Policy Plans For Expanding Satellite Data Application: Lessons From Goes-16,"Kim, Jiyoung and Jang, Kun-Il",2018,10.14191/atmos.2018.28.2.201,kim_benefitsgenerationgeostationarymeteorological_2018,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Added Value Of Online Satellite Data Transmission For Flood Forecasting: Warning Systems In Medium-Size Catchments,"Ruch, C. and Stadler, H.",2009,10.2166/wst.2009.770,ruch_addedonlinesatellitedata_2009,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
Improving Situational Awareness In The Arctic Ocean,"Rainville, Luc and Wilkinson, Jeremy and Durley, Mary Ellen J. and Harper, Scott and DiLeo, Julia and Doble, Martin J. and Fleming, Andrew and Forcucci, David and Graber, Hans and Hargrove, John T. and Haverlack, John and Hughes, Nick and Hembrough, Brett and Jeffries, Martin O. and Lee, Craig M. and Mendenhall, Brendon and McCormmick, David and Montalvo, Sofia and Stenseth, Adam and Shilling, Geoffrey B. and Simmons, Harper L. and Toomey, James E. and Woods, John",2020,10.3389/fmars.2020.581139,rainville_improvingsituationalawarenessarctic_2020,classifier round 2b,NA,NA,NA,NA,NA,NA,NA,NA,NA
